gene_set,interaction_type,ffa_type,E_capacity,E_composition,E_combined,phi_capacity,phi_composition,phi_combined,p_value_capacity,p_value_composition,effect_type
FKH1:YAP6,digenic,C140,0.6962564269116509,-1.6640544694601664,-0.9677980425485155,2.006228170143536,0.18936962812448924,0.3799186825129559,3.04065782254111e-07,4.0677162618251576e-44,both
OPI1:RFX1:RPD3,trigenic,C140,-1.0343850582629284,0.7983946298910429,-0.23599042837188544,0.355444891631482,2.2219709779222834,0.7897882334558841,7.915700615489737e-08,7.555828831244976e-08,both
RPD3:SPT3,digenic,C140,0.622728042821058,-0.765144723494057,-0.14241668067299906,1.864006200713789,0.46526659109486834,0.8672598107858016,4.273875440478635e-06,7.739068118768811e-13,both
RFX1:RGR1,digenic,C140,0.21785074471436272,-1.1680602812620768,-0.9502095365477141,1.2434014695271622,0.31096955009396426,0.3866599955650357,0.10295707260450544,1.3087460428581505e-25,both
OPI1:RGR1:RPD3,trigenic,C140,-0.6168054373430217,0.7918564874312621,0.1750510500882404,0.5396656826553324,2.2074908034312966,1.191307031389119,0.001171792850658063,9.54383945029394e-08,both
FKH1:SPT3:YAP6,trigenic,C140,-1.3456458279207146,2.649346591689545,1.3037007637688303,0.2603714983652255,14.14479329972019,3.682901025514548,5.686823307731545e-12,2.919805510550141e-52,both
GCN5:RFX1:RGR1,trigenic,C140,-0.12665280621156244,0.8682732467313847,0.7416204405198223,0.8810395109470659,2.3827928038571464,2.099334606598488,0.5148448341553347,1.5205268826371427e-08,both
FKH1:OPI1:RPD3,trigenic,C140,-1.4065501071698086,2.7107651415433605,1.304215034373552,0.2449870058551619,15.04077943844212,3.6847955203518183,3.0301087429239998e-12,1.0377797165108391e-51,both
OPI1:SPT3:YAP6,trigenic,C140,-0.017182494042439767,-0.27550637602095607,-0.29268887006339583,0.9829642831399514,0.7591875914826242,0.7462542866304639,0.9295680766920651,0.06657139015654602,composition-only
RFX1:RGR1:RPD3,trigenic,C140,-0.2737271499238213,1.2103610377413392,0.9366338878175179,0.7605395602303957,3.35469560566033,2.5513787206357486,0.147221171378702,1.9611271605239942e-15,both
MED4:RFX1:TFC7,trigenic,C140,-1.404210953599013,3.01752853988633,1.6133175862873168,0.24556073884789084,20.440710804177762,5.019436047649957,7.737408560203166e-13,2.189726373985161e-62,both
