gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
RFX1:RGR1:TFC7,trigenic,C161,0.4791025427492367,1.6146246951252352,0.002633541289446319,True,0.15811653078363808
RFX1:RPD3:SPT3,trigenic,C161,0.4764475496764691,1.6103435634468366,0.0027796277424542498,True,0.15811653078363805
RFX1:RPD3:YAP6,trigenic,C161,0.6089742110367813,1.838544472524729,0.00014046992839624446,True,0.1581165307836381
RFX1:RPD3:TFC7,trigenic,C161,0.5112821549341608,1.667427725657307,0.001343069089298989,True,0.15811653078363813
RFX1:SPT3:YAP6,trigenic,C161,0.2933754540611836,1.3409461596112215,0.06440407160891466,False,0.15811653078363805
RFX1:SPT3:TFC7,trigenic,C161,0.24702314021143235,1.280208736736362,0.11915654903236057,False,0.15811653078363816
RFX1:YAP6:TFC7,trigenic,C161,0.6573704337689159,1.929711353131466,4.082608982376191e-05,True,0.15811653078363794
RGR1:RPD3:SPT3,trigenic,C161,0.8608701334228119,2.365217853680894,1.0006820040490204e-07,True,0.15811653078363805
RGR1:RPD3:YAP6,trigenic,C161,0.9871901599722596,2.6836831479798264,3.716019685305159e-09,True,0.16301132103903987
RGR1:RPD3:TFC7,trigenic,C161,1.1093708802354494,3.0324500199580005,1.2516988806193627e-11,True,0.1581165307836381
RGR1:SPT3:YAP6,trigenic,C161,0.8901546973499002,2.4355063885329677,3.7972009995078104e-08,True,0.15811653078363816
RGR1:SPT3:TFC7,trigenic,C161,0.9364468903782149,2.5509016639538764,7.801176641454884e-09,True,0.15811653078363835
RGR1:YAP6:TFC7,trigenic,C161,0.9911522051425276,2.694337113644429,1.1117020951166529e-09,True,0.15811653078363822
RPD3:SPT3:YAP6,trigenic,C161,1.0684437709314138,2.9108460301269017,6.166938652809292e-11,True,0.1581165307836381
RPD3:SPT3:TFC7,trigenic,C161,1.150488093508478,3.1597347794051975,2.4167473730359023e-12,True,0.15811653078363824
RPD3:YAP6:TFC7,trigenic,C161,1.2243362314381208,3.4019072541183113,1.136752806307617e-13,True,0.15811653078363846
SPT3:YAP6:TFC7,trigenic,C161,1.0178362177980655,2.7672006617960037,4.1710708749646806e-10,True,0.15811653078363824
FKH1:GCN5:MED4,trigenic,C181,0.1259708947200049,1.134249155163354,0.7055427835452124,False,0.3331078092823795
FKH1:GCN5:OPI1,trigenic,C181,-1.2145420197701458,0.29684593273619575,0.00020560974253300797,True,0.3236190161245857
FKH1:GCN5:RFX1,trigenic,C181,-1.8961405959303175,0.1501469803070306,1.1043499316401554e-08,True,0.3236190161245855
FKH1:GCN5:RGR1,trigenic,C181,-1.3811033182451344,0.25130113492047046,2.5683172929102266e-05,True,0.32361901612458543
FKH1:GCN5:RPD3,trigenic,C181,-1.3675459360860773,0.2547313200694748,3.0668222064896e-05,True,0.32361901612458527
FKH1:GCN5:SPT3,trigenic,C181,-1.3488113136758468,0.2595485992210087,3.909606609622696e-05,True,0.323619016124585
FKH1:GCN5:YAP6,trigenic,C181,-1.0618809895504127,0.34580474308844883,0.001141216207035233,True,0.3236190161245854
FKH1:GCN5:TFC7,trigenic,C181,-1.9095881838398236,0.14814138105005664,8.794516534606926e-09,True,0.32361901612458516
FKH1:MED4:OPI1,trigenic,C181,-0.9650580789148905,0.38096107329105117,0.002281028227620347,True,0.3139016100174968
FKH1:MED4:RFX1,trigenic,C181,-1.82254997115103,0.161613116270111,1.4743489313573945e-08,True,0.3139016100174965
FKH1:MED4:RGR1,trigenic,C181,-1.3836024020191928,0.2506738964190163,1.4047411755401945e-05,True,0.3139016100174968
FKH1:MED4:RPD3,trigenic,C181,-1.806083393791414,0.16429636246250176,1.9580119103429945e-08,True,0.31390161001749645
FKH1:MED4:SPT3,trigenic,C181,-1.145596622130582,0.3180341149844922,0.0003042302041135139,True,0.31390161001749656
FKH1:MED4:YAP6,trigenic,C181,-0.7785044942989073,0.4590920729852557,0.013621423818824453,True,0.3139016100174965
FKH1:MED4:TFC7,trigenic,C181,-0.7946910318094368,0.45172078071613414,0.011805131323179527,True,0.3139016100174966
