gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05,ci_lower,ci_upper
SPT3:YAP6,digenic,C160,0.6746344439793073,1.9633151431026994,0.18581290736354664,0.00032639402346139665,0.0007551259115324469,0.6746344439793073,True,True,0.3091390967789068,1.0401297911797078
SPT3:TFC7,digenic,C160,0.7512268486718432,2.1195988491324895,0.1858129073635471,6.542422038986894e-05,0.0001682337095739487,0.7512268486718432,True,True,0.38573150147144175,1.1167221958722446
YAP6:TFC7,digenic,C160,0.903458920192888,2.4681254125079124,0.1858129073635468,1.7816049223125705e-06,5.859763697971577e-06,0.903458920192888,True,True,0.5379635729924872,1.2689542673932888
FKH1:GCN5,digenic,C180,0.7020620764185218,2.017909503784167,0.20689841989162538,0.0007726500844422368,0.0016811507331820096,0.7020620764185218,True,True,0.29509137192622814,1.1090327809108156
FKH1:MED4,digenic,C180,0.3112431255154259,1.3651210766086357,0.19500122541605713,0.11139906725187525,0.15190781897982988,0.3112431255154259,False,False,-0.07232571046699704,0.6948119614978487
FKH1:OPI1,digenic,C180,0.62520120961179,1.8686219042968386,0.19500122541605705,0.0014737162105143045,0.0030458852785159945,0.62520120961179,True,True,0.24163237362936724,1.0087700455942128
FKH1:RFX1,digenic,C180,0.3135647907257034,1.3682941126584622,0.19500122541605722,0.10876566339167042,0.14852138863138442,0.3135647907257034,False,False,-0.07000404525671966,0.6971336267081265
FKH1:RGR1,digenic,C180,0.4857733979303955,1.6254316283054782,0.1950012254160567,0.013212958259685097,0.02302962795262015,0.4857733979303955,True,True,0.1022045619479734,0.8693422339128176
FKH1:RPD3,digenic,C180,0.875977613280414,2.401221613022001,0.19500122541605683,9.691545426607756e-06,2.8470712084099934e-05,0.875977613280414,True,True,0.49240877729799165,1.2595464492628363
FKH1:SPT3,digenic,C180,0.41925740296630265,1.5208317710212937,0.1950012254160567,0.03226236124803239,0.051682423358498486,0.41925740296630265,True,False,0.035688566983880565,0.8028262389487247
FKH1:YAP6,digenic,C180,0.6421060038883984,1.9004790840506576,0.19500122541605716,0.0010967179472108374,0.0023249481107895697,0.6421060038883984,True,True,0.2585371679059755,1.0256748398708213
FKH1:TFC7,digenic,C180,0.5368082094815043,1.710538459393012,0.19500122541605674,0.006227054890331969,0.011544539965222188,0.5368082094815043,True,True,0.15323937349908212,0.9203770454639265
GCN5:MED4,digenic,C180,1.009371649743708,2.7438763578165966,0.21821229232420172,5.326644948361102e-06,1.5979934845083307e-05,1.009371649743708,True,True,0.580146475464582,1.438596824022834
GCN5:OPI1,digenic,C180,0.4376075302621883,1.5489968537169259,0.20689841989162558,0.03515415856336794,0.05586294859989448,0.4376075302621883,True,False,0.030636825769894238,0.8445782347544823
GCN5:RFX1,digenic,C180,0.24425290562636887,1.2766671659735538,0.2068984198916252,0.23861360734483317,0.29418115974020526,0.24425290562636887,False,False,-0.1627177988659244,0.6512236101186621
GCN5:RGR1,digenic,C180,0.3901905405658955,1.477262245452045,0.20689841989162508,0.06016515968330253,0.08943469682653078,0.3901905405658955,False,False,-0.01678016392639753,0.7971612450581886
