dataset,raw_label,condition,n_replicates,replicate_rho,hit_jaccard,n_pairs
hillenmeyer2008_het,pp1,"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",2,0.11556283641116233,0.12280701754385964,1
hillenmeyer2008_het,pp2,"3-(4-chlorophenyl)-1-(1,1-dimethylethyl)-1h-pyrazolo(3,4-d)pyrimidin-4-amine",2,0.20747162184661394,0.1497005988023952,1
hillenmeyer2008_het,progesterone,progesterone,3,0.18277773022569496,0.08259699150788259,3
hillenmeyer2008_het,quinacrine hydrochloride,quinacrine dihydrochloride,3,0.13037612737051177,0.08156573096450179,3
hillenmeyer2008_het,rapamycin,rapamycin,4,0.3590282331680399,0.2984264142752721,6
hillenmeyer2008_het,reserpine,reserpine,2,0.017073667396039487,0.04570383912248629,1
hillenmeyer2008_het,rhizoxin,rhizoxin,2,0.016254350756608228,0.09788867562380038,1
hillenmeyer2008_het,rotenone,rotenone,2,-0.0363204305898476,0.07063197026022305,1
hillenmeyer2008_het,sanguinarine sulfate,sanguinarine sulfate,3,0.1917125435057582,0.0935335630961698,3
hillenmeyer2008_het,semustine,semustine,2,0.2070020564202733,0.14570858283433133,1
hillenmeyer2008_het,sodium fluoride,sodium fluoride,5,0.3991621148488883,0.20912322095688657,10
hillenmeyer2008_het,splitomicin,splitomicin,3,0.25048844301299306,0.10775972583225508,3
hillenmeyer2008_het,terbinafine,terbinafine,2,0.4694764117359745,0.1868583162217659,1
hillenmeyer2008_het,thiabendazole,thiabendazole,4,0.39610201907280285,0.1871654592348112,6
hillenmeyer2008_het,tolnaftate,tolnaftate,3,0.307181804217226,0.1658265474059557,3
hillenmeyer2008_het,tomatine,tomatine,2,0.82554440582226,0.33488372093023255,1
hillenmeyer2008_het,trichlormethine,tris(2-chloroethyl)amine,3,0.18001383647572336,0.07641628120359072,3
hillenmeyer2008_het,tunicamycin,tunicamycin,5,0.24840005567625817,0.11864131869013166,10
hillenmeyer2008_het,wiskostatin,"3,6-dibromo-alpha-((dimethylamino)methyl)-9h-carbazole-9-ethanol",2,0.2520294860589156,0.09297912713472485,1
hillenmeyer2008_het,yp glycerol,yp glycerol,4,0.31677230046691507,0.146961436763018,6
