gene,released_label,call,fcl_rf_e_class,cgt_predicted_z
YFR019W,1,only_rf,1.1574193548387097,-0.430006206035614
YFR044C,1,only_rf,1.101451612903226,-0.24299317598342896
YFR047C,1,only_rf,1.2874193548387096,-0.17830048501491547
YGL026C,1,only_rf,1.0735483870967741,-0.2142920047044754
YGL148W,1,only_rf,1.1743548387096774,-0.15453146398067474
YGL234W,1,only_rf,1.1155645161290324,-0.273351788520813
YGR244C,1,only_rf,1.1825806451612901,-0.28569602966308594
YIL010W,1,only_rf,1.065,0.017555568367242813
YIL094C,1,only_rf,1.1808064516129033,-0.31466245651245117
YIR032C,1,only_rf,1.0863709677419355,-0.1274259090423584
YJL060W,1,only_rf,1.114274193548387,-0.2787725627422333
YJL088W,1,only_rf,1.1960483870967742,-0.25389617681503296
YJR078W,1,only_rf,1.2220967741935482,-0.11472657322883606
YKL067W,1,only_rf,1.322983870967742,-0.2228803038597107
YKL085W,1,only_rf,1.0751612903225807,-0.11369649320840836
YKL120W,1,only_rf,1.065,-0.10070440173149109
YKL218C,1,only_rf,1.1098387096774194,-0.43921202421188354
YKR067W,1,only_rf,1.1453225806451615,-0.22406414151191711
YLR027C,1,only_rf,1.1377419354838711,-0.019306808710098267
YLR142W,1,only_rf,1.1399193548387097,-0.08248032629489899
YLR231C,1,only_rf,1.1980645161290322,-0.11653437465429306
YLR303W,1,only_rf,1.1201612903225806,-0.11569284647703171
YLR351C,1,only_rf,1.1717741935483872,-0.24137622117996216
YLR420W,1,only_rf,1.163225806451613,-0.3302246928215027
YML004C,1,only_rf,1.1062096774193548,-0.3094673752784729
YML059C,1,only_rf,1.1692741935483872,-0.17962561547756195
YML120C,1,only_rf,1.089274193548387,-0.008762005716562271
YNL045W,1,only_rf,1.0658870967741936,-0.07716427743434906
YOL052C,1,only_rf,1.096532258064516,0.019993551075458527
YOL058W,1,only_rf,1.1978225806451612,-0.24763651192188263
YOR100C,1,only_rf,1.1229032258064517,-0.04155590757727623
YOR130C,1,only_rf,1.2483870967741937,-0.02147512324154377
YOR180C,1,only_rf,1.1561290322580646,-0.008243618533015251
YPL244C,1,only_rf,1.0803225806451613,0.009888287633657455
YPR021C,1,only_rf,1.1360483870967741,-0.0010153129696846008
YPR118W,1,only_rf,1.1705645161290323,0.0050007253885269165
YPR167C,1,only_rf,1.1504032258064516,-0.036596886813640594
YAR015W,2,only_rf,1.1687903225806453,-0.14572827517986298
YBL045C,2,only_rf,1.3506451612903227,-0.5267472267150879
YBL099W,2,only_rf,1.975241935483871,-0.19632218778133392
