gene,p5,q1,median,q3,p95,iqr,n_genes,frac_gt_0.25,frac_gt_0.5,frac_gt_0.75,frac_gt_1.0
YOR171C,-0.13554725838874393,-0.0379723617164682,0.01309817716299378,0.06722500797954338,0.1654416180756712,0.10519736969601158,6169,0.02544982979413195,0.005511428108283352,0.0034041173609985413,0.0024315124007132437
YHR143W,-0.13041644920252402,-0.04061903540608157,0.009131677459551988,0.06474034520351021,0.1748866771354638,0.10535938060959178,6169,0.02204571243313341,0.003242016534284325,0.0016210082671421625,0.0004863024801426487
YBL088C,-0.1299999714521169,-0.03417285406141075,0.01933375980684214,0.07129815927866578,0.1584962076998963,0.10547101334007652,6169,0.027557140541416763,0.01037445290970984,0.006646133895282866,0.004538823147998055
YBR058C,-0.1598576862565133,-0.04474451533229012,0.006448406291540466,0.06134426769320537,0.16901419513061813,0.10608878302549549,6169,0.0389041984114119,0.008753444642567677,0.0034041173609985413,0.0019452099205705948
YNL009W,-0.1271618027397452,-0.028378356701676294,0.02154333194251179,0.07782000917534224,0.18089592560586912,0.10619836587701853,6169,0.02804344302155941,0.003566218187712757,0.0019452099205705948,0.0009726049602852974
YDR458C,-0.1662578913787632,-0.05330709366517615,0.0021160773925208015,0.05289310269686573,0.16187745562860345,0.10620019636204188,6169,0.044739828173123684,0.011833360350137786,0.005835629761711785,0.003242016534284325
YIL030C,-0.12483513655860377,-0.030745705206803888,0.019381314143262225,0.07559658565084411,0.17216945844926057,0.106342290857648,6169,0.03177176203598638,0.0072945372021397305,0.0029178148808558925,0.00129680661371373
YJL083W,-0.13027704269897605,-0.033593200391849105,0.014883002010579106,0.07304616211115385,0.19275418681547418,0.10663936250300296,6169,0.03550008105041336,0.006808234721997083,0.0030799157075701088,0.0014589074404279462
YHR202W,-0.14392474207623024,-0.041990466182143305,0.010114212092629382,0.064815100630132,0.16215222618734096,0.10680556681227531,6169,0.026260333927703033,0.004700923974712271,0.00259361322742746,0.00129680661371373
YHR127W,-0.13508462118449313,-0.03207239364871156,0.020004244687087315,0.07478235243910451,0.17130520465270918,0.10685474608781607,6169,0.03063705624898687,0.0043767223212838385,0.0024315124007132437,0.0017831090938563786
YHR195W,-0.14459019464123296,-0.04714607672196412,0.006541086757456401,0.059733909815123415,0.15892064815900758,0.10687998653708754,6169,0.029016047981844706,0.004700923974712271,0.0029178148808558925,0.0019452099205705948
YIL016W,-0.12975802517310653,-0.031598353561766206,0.01636827692214627,0.07557557913980469,0.18537113620667722,0.10717393270157088,6169,0.03177176203598638,0.006321932241854434,0.0022694115739990274,0.0014589074404279462
YMR119W,-0.14266023454012516,-0.04617013180861305,0.005976400022497261,0.06130774635068544,0.16620642877645683,0.10747787815929849,6169,0.02836764467498784,0.005835629761711785,0.0024315124007132437,0.00129680661371373
YDR156W,-0.11344535459510399,-0.03388372000008828,0.017173050238685914,0.07379072201448988,0.1777548595377362,0.10767444201457817,6169,0.01847949424542065,0.002755714054141676,0.0017831090938563786,0.00129680661371373
YKL090W,-0.13678989761731575,-0.04355090883905099,0.008111819207802153,0.06418356893539962,0.16275713668948755,0.10773447777445061,6169,0.02544982979413195,0.0037283190144269734,0.0016210082671421625,0.0009726049602852974
YDL149W,-0.12909119227537003,-0.03864978521368698,0.01184493310491582,0.06928614553877838,0.17406250852792604,0.10793593075246535,6169,0.03015075376884422,0.006321932241854434,0.0019452099205705948,0.0014589074404279462
YJR099W,-0.14575616465299687,-0.05407521504652045,-0.0014938333686752518,0.05401550303285607,0.1697777703243547,0.10809071807937652,6169,0.030799157075701085,0.006808234721997083,0.00259361322742746,0.0016210082671421625
YMR261C,-0.14190008523092776,-0.05117704938049414,0.0015922770154764235,0.05691745229612434,0.17075020338252495,0.10809450167661848,6169,0.03015075376884422,0.0061598314151402175,0.0029178148808558925,0.0011347057869995137
