gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YFR032C-A,True,False,False,False,False,False,1,False,True,0.7888,False,excluded_low_fitness,1
YFR033C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR034C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR035C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR036W,True,True,False,False,False,False,2,False,True,0.8278,False,excluded_low_fitness,2
YFR038W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR039C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR040W,True,True,False,False,False,False,2,False,True,0.8543,False,excluded_low_fitness,2
YFR041C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR043C,True,False,False,False,False,False,1,False,True,0.5975,False,excluded_low_fitness,1
YFR044C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR045W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR046C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR047C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR048W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR049W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR053C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR054C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR055W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YFR056C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YFR057W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL001C,False,False,False,True,False,False,1,True,True,0.537,False,excluded_essential,1
YGL002W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL003C,True,True,False,False,False,False,2,False,True,0.593,False,excluded_low_fitness,2
YGL004C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL005C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL006W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL007W,True,False,False,False,False,False,1,False,True,0.8065,False,excluded_low_fitness,1
YGL008C,False,False,False,True,False,False,1,True,True,0.7882,False,excluded_essential,1
YGL009C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL010W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL012W,True,False,False,True,False,False,2,False,True,0.846,False,excluded_low_fitness,2
YGL013C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL014W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YGL015C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL016W,True,True,False,False,False,False,2,False,True,0.894,False,excluded_low_fitness,2
YGL017W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL019W,True,True,False,False,False,False,2,False,True,0.858,False,excluded_low_fitness,2
YGL020C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL021W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
