gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,is_essential,is_low_fitness,min_fitness,num_sources
YDR256C,False,False,False,True,False,False,,1
YDR257C,True,False,False,False,False,False,,1
YDR259C,True,False,True,False,False,False,,2
YDR260C,True,True,False,False,False,False,,2
YDR261C,False,False,False,True,False,False,,1
YDR264C,True,False,False,False,False,True,0.4005,1
YDR265W,False,True,False,False,False,True,0.8675,1
YDR266C,False,True,True,False,False,False,,2
YDR268W,False,False,False,True,False,True,0.307,1
YDR270W,False,False,False,True,False,False,,1
YDR272W,False,False,False,True,False,False,,1
YDR276C,True,False,False,False,False,True,0.89,1
YDR282C,True,False,False,False,False,False,,1
YDR283C,False,False,False,True,False,False,,1
YDR284C,False,False,False,True,False,False,,1
YDR287W,True,False,False,True,False,False,,2
YDR289C,False,True,False,False,False,False,,1
YDR294C,True,False,False,True,False,False,,2
YDR295C,True,True,False,False,False,True,0.6955,2
YDR296W,True,False,False,False,False,True,0.373,1
YDR297W,True,False,False,True,False,False,,2
YDR298C,False,False,False,True,False,True,0.6785,1
YDR300C,True,False,False,True,False,False,,2
YDR302W,False,False,False,True,True,True,0.6941,1
YDR305C,True,False,False,True,False,False,,2
YDR306C,False,True,False,False,False,False,,1
YDR310C,False,True,True,False,False,True,0.8823,2
YDR315C,True,True,False,True,False,True,0.8267,3
YDR316W,True,False,False,False,False,True,0.8717,1
YDR318W,False,True,False,False,False,False,,1
YDR320C,True,True,False,False,False,True,0.636,2
YDR321W,False,False,False,True,False,False,,1
YDR322C-A,False,False,False,True,False,True,0.8655,1
YDR323C,True,True,False,False,False,True,0.51,2
YDR332W,True,True,False,False,False,False,,2
YDR334W,True,True,False,False,False,True,0.8522,2
YDR335W,True,True,False,False,False,False,,2
YDR341C,False,False,False,True,True,True,0.8362,1
YDR342C,False,False,False,True,False,False,,1
YDR343C,False,False,False,True,False,False,,1
YDR345C,False,False,False,True,False,False,,1
YDR348C,True,False,False,False,False,False,,1
YDR349C,True,False,False,False,False,False,,1
YDR352W,False,False,False,True,False,False,,1
YDR353W,False,False,False,True,True,False,,1
YDR354W,False,False,False,True,False,False,,1
YDR359C,False,True,False,False,False,False,,1
YDR363W,False,True,False,False,False,True,0.832,1
YDR363W-A,True,True,False,False,False,False,,2
YDR364C,True,True,False,False,False,True,0.3461,2
YDR367W,False,False,False,True,True,False,,1
YDR368W,False,False,False,True,False,False,,1
YDR369C,True,False,False,False,False,True,0.7282,1
YDR371W,False,False,False,True,False,False,,1
YDR373W,False,False,False,True,True,True,0.5117,1
YDR375C,True,True,False,False,False,True,0.8017,2
YDR376W,False,False,False,True,True,False,,1
YDR377W,False,False,False,True,False,False,,1
YDR378C,False,True,False,False,False,True,0.7235,1
YDR380W,False,False,False,True,False,False,,1
YDR382W,True,False,False,False,False,True,0.5453,1
YDR384C,False,False,False,True,False,False,,1
YDR386W,False,True,False,False,False,False,,1
YDR387C,False,False,False,True,False,False,,1
YDR388W,True,False,False,False,False,True,0.636,1
YDR389W,True,False,False,False,False,False,,1
YDR391C,True,False,False,False,False,False,,1
YDR392W,True,True,False,False,False,True,0.7185,2
YDR395W,False,True,False,False,False,False,,1
YDR399W,False,False,False,True,False,False,,1
YDR400W,False,False,False,True,False,False,,1
YDR402C,False,False,False,True,False,False,,1
YDR403W,False,False,False,True,False,False,,1
YDR408C,False,False,False,True,False,False,,1
YDR410C,True,True,False,True,False,False,,3
YDR411C,True,False,False,False,False,False,,1
YDR414C,True,False,False,False,False,False,,1
YDR415C,True,False,False,False,False,False,,1
YDR417C,True,False,False,False,False,False,,1
YDR418W,True,False,False,False,False,True,0.6015,1
YDR423C,False,False,True,False,False,False,,1
YDR428C,False,False,False,True,False,False,,1
YDR432W,True,True,False,False,False,True,0.344,2
YDR433W,True,False,False,False,False,False,,1
YDR435C,True,False,False,False,False,False,,1
YDR437W,False,False,False,True,True,True,0.4697,1
YDR440W,False,False,False,True,False,False,,1
YDR441C,False,False,False,True,False,False,,1
YDR442W,True,False,False,False,False,False,,1
YDR443C,True,True,False,False,False,True,0.488,2
YDR448W,True,True,False,False,False,True,0.4075,2
YDR451C,False,False,True,False,False,False,,1
YDR452W,False,False,False,True,False,False,,1
YDR453C,False,False,False,True,False,False,,1
YDR454C,False,False,False,True,True,True,0.5535,1
YDR456W,False,False,False,True,False,True,0.733,1
YDR457W,False,True,False,False,False,False,,1
YDR458C,False,True,False,False,False,False,,1
YDR459C,True,False,False,False,False,False,,1
