component,singular_value,cumulative_variance
846,5.064911,0.98055255
847,5.0606723,0.98060524
848,5.0539804,0.9806578
849,5.0506577,0.98071027
850,5.0482583,0.9807627
851,5.045552,0.9808151
852,5.0378914,0.9808673
853,5.0287457,0.98091936
854,5.026195,0.98097134
855,5.0199137,0.98102313
856,5.016995,0.9810749
857,5.011913,0.9811266
858,5.011622,0.9811783
859,5.005909,0.98122984
860,4.998432,0.9812812
861,4.996273,0.9813326
862,4.9923387,0.9813839
863,4.990861,0.9814352
864,4.985795,0.9814863
865,4.9760594,0.9815372
866,4.9728665,0.98158807
867,4.964183,0.9816388
868,4.9616194,0.98168945
869,4.959227,0.98174006
870,4.9562497,0.9817906
871,4.9504414,0.981841
872,4.947591,0.9818914
873,4.9460897,0.98194176
874,4.944243,0.981992
875,4.94126,0.98204225
876,4.928985,0.9820922
877,4.925205,0.9821421
878,4.9210997,0.9821919
879,4.919566,0.9822417
880,4.9146557,0.9822914
881,4.909641,0.982341
882,4.907017,0.9823905
883,4.901796,0.98244
884,4.8963327,0.9824893
885,4.893107,0.9825386
886,4.8899465,0.98258775
887,4.888438,0.9826369
888,4.8817463,0.982686
889,4.878294,0.982735
890,4.875923,0.9827839
891,4.870066,0.98283273
892,4.863953,0.9828814
893,4.8612022,0.98293
894,4.855009,0.9829785
895,4.8489823,0.98302686
896,4.842439,0.9830751
897,4.8409,0.9831233
898,4.837476,0.98317146
899,4.834382,0.98321956
900,4.8317156,0.9832676
901,4.824556,0.98331547
902,4.818333,0.9833633
903,4.817284,0.9834111
904,4.8123007,0.9834587
905,4.8090873,0.98350626
906,4.807661,0.9835538
907,4.8040524,0.9836014
908,4.800557,0.9836488
909,4.7961707,0.9836961
910,4.7905946,0.9837433
911,4.7888064,0.98379046
912,4.7806735,0.9838375
913,4.7801414,0.9838845
914,4.7754283,0.9839314
915,4.7714176,0.9839783
916,4.768411,0.9840251
917,4.7672315,0.98407185
918,4.761958,0.9841185
919,4.7481766,0.9841649
920,4.745525,0.98421127
921,4.7415433,0.98425746
922,4.740082,0.9843037
923,4.739613,0.98434997
924,4.732603,0.98439604
925,4.7315946,0.9844421
926,4.7219667,0.984488
927,4.7197313,0.98453385
928,4.71148,0.9845795
929,4.7106338,0.98462516
930,4.706761,0.98467076
931,4.703463,0.98471624
932,4.6987667,0.9847617
933,4.6940947,0.9848071
934,4.690472,0.9848523
935,4.6841717,0.98489743
936,4.6785455,0.9849425
937,4.6765594,0.9849875
938,4.6751246,0.98503244
939,4.670204,0.9850773
940,4.6684356,0.98512214
941,4.6621222,0.9851669
942,4.657657,0.9852115
943,4.654741,0.9852561
944,4.6507998,0.98530054
945,4.6473804,0.985345
946,4.637117,0.98538923
947,4.6347136,0.9854334
948,4.6336236,0.98547757
949,4.631898,0.98552173
950,4.6290035,0.98556584
951,4.6238246,0.9856098
952,4.6189866,0.98565376
953,4.615948,0.9856976
954,4.612084,0.9857414
955,4.6082277,0.9857851
956,4.601111,0.98582864
957,4.6006293,0.9858722
958,4.597154,0.98591566
959,4.5910363,0.985959
960,4.588362,0.9860023
961,4.5854917,0.9860456
962,4.5754523,0.9860887
963,4.570528,0.9861316
964,4.5671234,0.9861745
965,4.564807,0.9862174
