sce:YDR173C	ko:K00915
sce:YDR174W	ko:K22483
sce:YDR175C	ko:K17413
sce:YDR176W	ko:K11315
sce:YDR177W	ko:K04649
sce:YDR178W	ko:K00237
sce:YDR179C	ko:K24365
sce:YDR180W	ko:K06672
sce:YDR181C	ko:K11402
sce:YDR182W	ko:K23362
sce:YDR185C	ko:K27966
sce:YDR186C	ko:K27163
sce:YDR188W	ko:K09498
sce:YDR189W	ko:K19998
sce:YDR190C	ko:K04499
sce:YDR191W	ko:K11121
sce:YDR192C	ko:K18716
sce:YDR194C	ko:K17679
sce:YDR195W	ko:K15543
sce:YDR196C	ko:K00859
sce:YDR197W	ko:K17665
sce:YDR198C	ko:K27349
sce:YDR201W	ko:K11572
sce:YDR202C	ko:K25485
sce:YDR204W	ko:K18586
sce:YDR205W	ko:K14692
sce:YDR206W	ko:K11132
sce:YDR207C	ko:K09243
sce:YDR208W	ko:K00889
sce:YDR211W	ko:K03240
sce:YDR212W	ko:K09493
sce:YDR214W	ko:K26216
sce:YDR216W	ko:K09466
sce:YDR217C	ko:K06661
sce:YDR218C	ko:K16947
sce:YDR221W	ko:K08288
sce:YDR224C	ko:K11252
sce:YDR225W	ko:K11251
sce:YDR226W	ko:K00939
sce:YDR227W	ko:K11123
sce:YDR228C	ko:K14400
sce:YDR231C	ko:K18184
sce:YDR232W	ko:K00643
sce:YDR233C	ko:K28992
sce:YDR234W	ko:K01705
sce:YDR235W	ko:K13217
sce:YDR236C	ko:K00861
sce:YDR237W	ko:K02931
sce:YDR238C	ko:K17301
sce:YDR242W	ko:K01426
sce:YDR243C	ko:K12858
sce:YDR244W	ko:K13342
sce:YDR245W	ko:K05531
sce:YDR246W	ko:K20303
sce:YDR248C	ko:K00851
sce:YDR252W	ko:K01527
sce:YDR254W	ko:K11551
sce:YDR255C	ko:K23333
sce:YDR256C	ko:K03781
sce:YDR257C	ko:K05302
sce:YDR258C	ko:K03695
sce:YDR259C	ko:K09043
sce:YDR260C	ko:K12416
sce:YDR261C	ko:K01210
sce:YDR264C	ko:K20032
sce:YDR265W	ko:K13346
sce:YDR266C	ko:K22381
sce:YDR267C	ko:K24730
sce:YDR268W	ko:K01867
sce:YDR270W	ko:K17686
sce:YDR272W	ko:K01069
sce:YDR280W	ko:K03678
sce:YDR282C	ko:K23499
sce:YDR283C	ko:K16196
sce:YDR284C	ko:K18693
sce:YDR285W	ko:K12768
sce:YDR287W	ko:K01092
sce:YDR288W	ko:K22823
sce:YDR289C	ko:K15559
sce:YDR291W	ko:K06877
sce:YDR292C	ko:K13431
sce:YDR293C	ko:K18748
sce:YDR294C	ko:K01634
sce:YDR297W	ko:K04713
sce:YDR298C	ko:K02137
sce:YDR299W	ko:K14782
sce:YDR300C	ko:K00931
sce:YDR301W	ko:K14401
sce:YDR302W	ko:K05287
sce:YDR303C	ko:K11758
sce:YDR304C	ko:K03768
sce:YDR305C	ko:K01522
sce:YDR307W	ko:K00728
sce:YDR308C	ko:K15152
sce:YDR310C	ko:K12779
sce:YDR311W	ko:K03141
sce:YDR312W	ko:K14859
sce:YDR315C	ko:K19786
sce:YDR316W	ko:K17803
sce:YDR318W	ko:K11552
sce:YDR319C	ko:K28100
sce:YDR320C-A	ko:K11569
sce:YDR321W	ko:K01424
sce:YDR322C-A	ko:K01549
sce:YDR322W	ko:K17439
sce:YDR323C	ko:K12481
sce:YDR324C	ko:K14548
sce:YDR325W	ko:K06678
sce:YDR326C	ko:K27898
sce:YDR328C	ko:K03094
sce:YDR329C	ko:K13336
sce:YDR330W	ko:K24350
sce:YDR331W	ko:K05290
sce:YDR332W	ko:K17677
sce:YDR333C	ko:K24970
sce:YDR334W	ko:K11661
sce:YDR335W	ko:K14289
sce:YDR337W	ko:K02956
sce:YDR338C	ko:K03327
