child,parent
GO:0006470,GO:0036211
GO:0006473,GO:0008150
GO:0006474,GO:0006473
GO:0006474,GO:0031365
GO:0006474,GO:0051604
GO:0006479,GO:0043414
GO:0006486,GO:0036211
GO:0006487,GO:0006486
GO:0006488,GO:1901137
GO:0006491,GO:0009100
GO:0006493,GO:0006486
GO:0006497,GO:0036211
GO:0006501,GO:0006497
GO:0006505,GO:0046488
GO:0006506,GO:0006505
GO:0006506,GO:0006661
GO:0006508,GO:0019538
GO:0006511,GO:0019941
GO:0006513,GO:0016567
GO:0006515,GO:0051603
GO:0006517,GO:0009100
GO:0006517,GO:0036211
GO:0006518,GO:0008152
GO:0006520,GO:0044238
GO:0006521,GO:0080090
GO:0006525,GO:1901605
GO:0006526,GO:0006525
GO:0006528,GO:0008150
GO:0006530,GO:0006528
GO:0006534,GO:0000096
GO:0006534,GO:1901605
GO:0006536,GO:0008150
GO:0006537,GO:0006536
GO:0006541,GO:0008150
GO:0006544,GO:0008150
GO:0006545,GO:0006544
GO:0006545,GO:0009070
GO:0006546,GO:0006544
GO:0006555,GO:0000096
GO:0006559,GO:0009074
GO:0006560,GO:0008150
GO:0006561,GO:0006560
GO:0006564,GO:0009070
GO:0006565,GO:0008150
GO:0006566,GO:0008150
GO:0006568,GO:0009072
GO:0006569,GO:0006568
GO:0006569,GO:0009074
GO:0006570,GO:0009072
GO:0006571,GO:0006570
GO:0006591,GO:1901605
GO:0006592,GO:0006591
GO:0006595,GO:0008150
GO:0006596,GO:0006595
GO:0006605,GO:0045184
GO:0006606,GO:0006886
GO:0006606,GO:0034504
GO:0006606,GO:0051170
GO:0006607,GO:0006606
GO:0006611,GO:0006886
GO:0006611,GO:0051168
GO:0006612,GO:0006605
GO:0006612,GO:0090150
GO:0006614,GO:0006612
GO:0006614,GO:0045047
GO:0006616,GO:0008150
GO:0006620,GO:0006612
GO:0006620,GO:0045047
GO:0006621,GO:0008150
GO:0006623,GO:0006605
GO:0006623,GO:0006886
