gene,n_terms
YDR049W,17
YDR050C,8
YDR051C,8
YDR052C,17
YDR053W,4
YDR054C,19
YDR055W,8
YDR056C,5
YDR057W,8
YDR058C,7
YDR059C,14
YDR060W,8
YDR061W,6
YDR062W,12
YDR063W,7
YDR064W,10
YDR065W,6
YDR066C,12
YDR067C,8
YDR068W,3
YDR069C,19
YDR070C,3
YDR071C,5
YDR072C,8
YDR073W,5
YDR074W,12
YDR075W,12
YDR076W,17
YDR077W,10
YDR078C,9
YDR079C-A,10
YDR079W,6
YDR080W,23
YDR081C,5
YDR082W,5
YDR083W,12
YDR084C,7
YDR085C,8
YDR086C,12
YDR087C,6
YDR088C,11
YDR089W,10
YDR090C,4
YDR091C,18
YDR092W,15
YDR093W,21
YDR094W,3
YDR095C,3
YDR096W,15
YDR097C,15
YDR098C,9
YDR099W,9
YDR100W,6
YDR101C,11
YDR102C,3
YDR103W,15
YDR104C,5
YDR105C,5
YDR106W,9
YDR107C,10
YDR108W,15
YDR109C,9
YDR110W,14
YDR111C,7
YDR112W,4
YDR113C,11
YDR114C,3
YDR115W,9
YDR116C,9
YDR117C,6
YDR118W,10
YDR118W-A,3
YDR119W,12
YDR119W-A,5
YDR120C,14
YDR121W,17
YDR122W,15
YDR123C,9
YDR124W,3
YDR125C,12
YDR126W,17
YDR127W,16
YDR128W,10
YDR129C,14
YDR130C,15
YDR131C,4
YDR132C,5
YDR133C,4
YDR135C,16
YDR136C,4
YDR137W,8
YDR138W,14
YDR139C,7
YDR140W,13
YDR141C,14
YDR142C,7
YDR143C,10
YDR144C,13
YDR145W,17
YDR146C,12
YDR147W,12
YDR148C,8
YDR149C,4
YDR150W,13
YDR151C,6
YDR152W,3
YDR153C,16
YDR154C,3
YDR155C,13
YDR156W,7
YDR157W,3
YDR158W,14
YDR159W,17
YDR160W,9
YDR161W,12
YDR162C,4
YDR163W,10
YDR164C,11
YDR165W,6
YDR166C,13
YDR167W,14
YDR168W,12
YDR169C,5
YDR169C-A,3
YDR170C,14
YDR171W,7
YDR172W,14
YDR173C,17
YDR174W,20
YDR175C,6
YDR176W,10
YDR177W,13
YDR178W,13
YDR179C,8
YDR179W-A,2
YDR180W,18
YDR181C,7
YDR182W,9
YDR182W-A,4
YDR183C-A,4
YDR183W,6
YDR184C,5
YDR185C,8
YDR186C,4
YDR187C,4
YDR188W,9
YDR189W,13
YDR190C,20
YDR191W,14
YDR192C,12
YDR193W,4
YDR194C,18
YDR194W-A,3
YDR195W,9
YDR196C,13
YDR197W,8
YDR198C,7
YDR199W,4
YDR200C,9
YDR201W,18
YDR202C,6
