triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
FKH1-RGR1-TFC7,RGR1>TFC7>FKH1,3,RGR1,TFC7,FKH1,1.0,0.9121109966844414,1.1143103595541453,0.9593016703803915,0.02027007226013599,0.020465166804597087,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.9121109966844414,0.0878890033155586
FKH1-RGR1-TFC7,TFC7>FKH1>RGR1,4,TFC7,FKH1,RGR1,1.0,0.7776174288814431,1.263525411002303,0.9593016703803915,0.030850811617237003,0.06444373754540357,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.7776174288814431,0.22238257111855686
FKH1-RGR1-TFC7,TFC7>RGR1>FKH1,5,TFC7,RGR1,FKH1,1.0,0.7776174288814431,1.1143103595541453,0.9593016703803915,0.030850811617237003,0.020465166804597087,0.02081651092687806,3,3,3,-1.0666768931697002,False,False,0.7776174288814431,0.22238257111855686
FKH1-GCN5-OPI1,FKH1>GCN5>OPI1,0,FKH1,GCN5,OPI1,1.0,0.9168421551749057,1.52910770905574,0.9689213375644138,0.02842854767685232,0.09580786170045001,0.08086861169341715,3,3,3,-1.0481317864861897,False,False,0.9168421551749057,0.08315784482509425
FKH1-GCN5-OPI1,FKH1>OPI1>GCN5,1,FKH1,OPI1,GCN5,1.0,0.9168421551749057,1.4873808060032758,0.9689213375644138,0.02842854767685232,0.043811196823444455,0.08086861169341715,3,3,3,-1.0481317864861897,False,False,0.9168421551749057,0.08315784482509425
FKH1-GCN5-OPI1,GCN5>FKH1>OPI1,2,GCN5,FKH1,OPI1,1.0,1.0580767907963287,1.52910770905574,0.9689213375644138,0.0495303851523764,0.09580786170045001,0.08086861169341715,2,3,3,-1.0481317864861897,False,False,0.9689213375644138,-0.05807679079632866
FKH1-GCN5-OPI1,GCN5>OPI1>FKH1,3,GCN5,OPI1,FKH1,1.0,1.0580767907963287,0.8604994155795863,0.9689213375644138,0.0495303851523764,0.020163833427049117,0.08086861169341715,2,3,3,-1.0481317864861897,False,False,0.8604994155795863,0.1395005844204137
FKH1-GCN5-OPI1,OPI1>FKH1>GCN5,4,OPI1,FKH1,GCN5,1.0,0.8408572711869856,1.4873808060032758,0.9689213375644138,0.016130995360014333,0.043811196823444455,0.08086861169341715,3,3,3,-1.0481317864861897,False,False,0.8408572711869856,0.1591427288130144
FKH1-GCN5-OPI1,OPI1>GCN5>FKH1,5,OPI1,GCN5,FKH1,1.0,0.8408572711869856,0.8604994155795863,0.9689213375644138,0.016130995360014333,0.020163833427049117,0.08086861169341715,3,3,3,-1.0481317864861897,False,False,0.8408572711869856,0.1591427288130144
GCN5-OPI1-RPD3,GCN5>OPI1>RPD3,0,GCN5,OPI1,RPD3,1.0,1.0580767907963287,0.8604994155795863,0.9762845476254736,0.0495303851523764,0.020163833427049117,0.06338705872205433,2,3,3,-0.14198021370766745,False,False,0.8604994155795863,0.1395005844204137
GCN5-OPI1-RPD3,GCN5>RPD3>OPI1,1,GCN5,RPD3,OPI1,1.0,1.0580767907963287,0.7392215760417186,0.9762845476254736,0.0495303851523764,0.08335235200827153,0.06338705872205433,2,3,3,-0.14198021370766745,False,False,0.7392215760417186,0.26077842395828144
