gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RFX1_RGR1,digenic,C16:0,0.33638896632575066,0.1503606443032763,0.08681075846402214,0.03136670949723075,2.949283249238922,0.06429147487454283,0.33638896632575066,True,False
RFX1_RGR1,digenic,C18:0,0.322803494047901,0.1669942386749799,0.09641416865211624,0.03674805405587511,3.3908040041115113,0.07036861414954808,0.322803494047901,True,False
RFX1_RGR1,digenic,C16:1,-0.3537001850940513,0.09136096801231396,0.05274727947533426,0.0007685141365390002,5.4919865744836995,0.005608076131500813,0.3537001850940513,True,True
RFX1_RGR1,digenic,C18:1,0.5671097845823143,0.09569038476192158,0.055246869401154294,0.001058659480503099,3.443297237016479,0.006636730710696259,0.5671097845823143,True,True
RFX1_RGR1,digenic,Total Titer,0.19997669490826508,0.11740064463886271,0.06778129378528298,0.06252596603640659,2.9021580128092435,0.09646863331331303,0.19997669490826508,False,False
OPI1_SPT3,digenic,C14:0,-0.48321332234808456,0.4415865178843424,0.2549500949710346,0.10777056820792374,5.889830083016195,0.15034892845375578,0.48321332234808456,False,False
OPI1_SPT3,digenic,C16:0,0.4756104066452176,0.22226277636599073,0.12832347376573836,0.036637143555350304,2.876373391876038,0.07036861414954808,0.4756104066452176,True,False
OPI1_SPT3,digenic,C18:0,0.47497930589321213,0.262781259327817,0.151716830810904,0.05887472909748559,2.7368088399283144,0.09241963288558784,0.47497930589321213,False,False
OPI1_SPT3,digenic,C16:1,-0.258006688362006,0.23971973338625266,0.1384022526006183,0.14787965437674488,3.4152185790486196,0.19382284796951998,0.258006688362006,False,False
OPI1_SPT3,digenic,C18:1,-0.11019710213238165,0.3382621396518727,0.1952957373846675,0.6267054585557346,2.1141274319298913,0.65585454965135,0.11019710213238165,False,False
OPI1_SPT3,digenic,Total Titer,0.28642570563559355,0.15370188234097987,0.08873982314451694,0.055299476865037445,2.7238494623560814,0.08887415924738161,0.28642570563559355,False,False
RGR1_SPT3,digenic,C14:0,-1.6694535014159422,0.8623770603016562,0.49789362790811936,0.029194460596197125,3.9362428397939335,0.062066963472230105,1.6694535014159422,True,False
RGR1_SPT3,digenic,C16:0,0.3994217594591414,0.2705263623475644,0.15618846812425655,0.09671225755057056,2.586871025492219,0.13671366250604217,0.3994217594591414,False,False
RGR1_SPT3,digenic,C18:0,0.40655146721888724,0.25764564521005034,0.14875178261755737,0.08806552540871637,2.491756478372422,0.12715343240830707,0.40655146721888724,False,False
RGR1_SPT3,digenic,C16:1,-0.3952490906476811,0.2629537881104786,0.15181644035001662,0.05828786137161934,4.105885441041963,0.09241963288558784,0.3952490906476811,False,False
RGR1_SPT3,digenic,C18:1,0.31556794425659984,0.3596292885385509,0.207632066546206,0.20623680940375744,3.8316767033649004,0.25310881154097503,0.31556794425659984,False,False
RGR1_SPT3,digenic,Total Titer,0.2314011720588578,0.23488933274612622,0.13561341949074757,0.21070127960216656,2.358772302030787,0.2574178529076243,0.2314011720588578,False,False
GCN5_YAP6,digenic,C14:0,-0.9851090752260974,1.0602734170458892,0.6122155320566545,0.23487807455515508,2.2535002475428527,0.2843815252461519,0.9851090752260974,False,False
GCN5_YAP6,digenic,C16:0,0.15314454936095623,0.11218477843025189,0.06622744283826809,0.07063175602882366,4.821617541651597,0.1065395202669407,0.15314454936095623,False,False
GCN5_YAP6,digenic,C18:0,0.07536651322524768,0.03834186235319575,0.02230778970076447,0.04586014495055135,2.879826942655583,0.0773889946040554,0.07536651322524768,True,False
GCN5_YAP6,digenic,C16:1,-0.46527445624930097,0.9202779090329803,0.5361286470917304,0.46170948477838314,2.463640382819152,0.50675431256164,0.46527445624930097,False,False
GCN5_YAP6,digenic,C18:1,0.2435113692083175,0.33203277736663583,0.20424411203780024,0.3185470438987579,3.012671357721639,0.36137689854060767,0.2435113692083175,False,False
GCN5_YAP6,digenic,Total Titer,0.14127181170462944,0.1203181650503075,0.07377181874350686,0.14175154776533772,3.348197448977556,0.18761234263059404,0.14127181170462944,False,False
RFX1_RPD3,digenic,C14:0,-1.2949948725044151,0.18309444576913828,0.10570962755193732,0.00022245349976435236,4.0948181287394725,0.0026114106494076147,1.2949948725044151,True,True
RFX1_RPD3,digenic,C16:0,0.6758926890840671,0.10111868763742063,0.05838090152756648,9.5212658490329e-05,4.904964630443829,0.0018362441280277738,0.6758926890840671,True,True
RFX1_RPD3,digenic,C18:0,0.710619813179892,0.10359928353341147,0.059813074235867486,0.00015302298746067144,4.45509259780364,0.0020658103307190645,0.710619813179892,True,True
RFX1_RPD3,digenic,C16:1,0.15092623123928162,0.042248189534660766,0.02439200360061072,0.0018493239242869386,4.807271105233853,0.009421084142593837,0.15092623123928162,True,True
RFX1_RPD3,digenic,C18:1,0.7534732347619151,0.06549894875059266,0.03781583569279218,0.0009427984905796549,2.4295927143799383,0.006527066473243765,0.7534732347619151,True,True
RFX1_RPD3,digenic,Total Titer,0.58203146333848,0.08206086243002009,0.047377861013904954,7.564063769338603e-05,4.865628424817975,0.0018362441280277738,0.58203146333848,True,True
RFX1_SPT3,digenic,C14:0,-1.2374926693348913,0.34425110718654073,0.19875346940297597,0.009774056282326082,2.842534898999991,0.03141660947890526,1.2374926693348913,True,True
RFX1_SPT3,digenic,C16:0,0.3425757217661918,0.19031012008563633,0.10987559906095214,0.027813671465410916,4.798788971244327,0.06007753036528758,0.3425757217661918,True,False
RFX1_SPT3,digenic,C18:0,0.3027174579892318,0.18915422162322695,0.10920824077252421,0.05511117261449283,3.6825221588466643,0.08887415924738161,0.3027174579892318,False,False
RFX1_SPT3,digenic,C16:1,-0.08409814828085893,0.16645473006187841,0.096102683209112,0.4614213226000867,2.3594601825264143,0.50675431256164,0.08409814828085893,False,False
RFX1_SPT3,digenic,C18:1,0.5035789500387882,0.22570575878548144,0.13031128059244645,0.035444773286799514,2.762698183660371,0.06934846947417296,0.5035789500387882,True,False
RFX1_SPT3,digenic,Total Titer,0.24965982290574895,0.13017462305048588,0.0751563536598561,0.02691754514902711,4.234721328172399,0.05861078379223645,0.24965982290574895,True,False
MED4_RPD3,digenic,C14:0,-1.2921808687294027,0.29061722570724613,0.1677879334932208,0.0026464125630505375,3.4789965457859062,0.011556616261411565,1.2921808687294027,True,True
MED4_RPD3,digenic,C16:0,0.615206509049289,0.09210559519156085,0.05317719017771837,0.002408045478845766,2.6538611239266574,0.011019869140480624,0.615206509049289,True,True
MED4_RPD3,digenic,C18:0,0.3989041126805827,0.06741474774469056,0.038921922757747814,0.004227660518164811,2.492936295581309,0.015636552601431493,0.3989041126805827,True,True
MED4_RPD3,digenic,C16:1,-0.047047952491363176,0.1747575887574545,0.10089634091204627,0.6678749092963958,3.5893859693205594,0.6935624058077957,0.047047952491363176,False,False
MED4_RPD3,digenic,C18:1,2.8435613009788008,0.22133625223024633,0.12778854480655566,0.001342400540261357,2.1670863939666383,0.007396900936134008,2.8435613009788008,True,True
MED4_RPD3,digenic,Total Titer,0.7068202363232221,0.09867386228419987,0.05696938095176286,0.0005830400706741123,3.4161680202508684,0.00477032785097001,0.7068202363232221,True,True
OPI1_RFX1,digenic,C14:0,-1.2597679691358312,0.4150984059343153,0.2396571764063615,0.005778924759161086,4.118713594760495,0.0202637621425129,1.2597679691358312,True,True
OPI1_RFX1,digenic,C16:0,0.49266614985217627,0.2030474816398335,0.11722951818303347,0.010799676731097163,4.4684906152854795,0.03313537178859357,0.49266614985217627,True,True
OPI1_RFX1,digenic,C18:0,0.5111509732340105,0.21907579750426195,0.1264834706620176,0.010328645003286674,4.9004525060020265,0.03280863706926355,0.5111509732340105,True,True
OPI1_RFX1,digenic,C16:1,-0.20501891425648644,0.16630755009379375,0.09601770881491901,0.08973346785791603,4.670008656427359,0.12824698575055463,0.20501891425648644,False,False
OPI1_RFX1,digenic,C18:1,0.15541610052608945,0.10723116395967183,0.061909941377633435,0.08542112509490463,3.054085932353695,0.12399840739582929,0.15541610052608945,False,False
OPI1_RFX1,digenic,Total Titer,0.31755734278875614,0.16653271480975898,0.09614770772429353,0.03143138771644316,3.864022800514789,0.06429147487454283,0.31755734278875614,True,False
GCN5_SPT3,digenic,C14:0,-0.7360235493732992,0.5244919843796355,0.3029465681455235,0.08535152762396625,3.3097538672491624,0.12399840739582929,0.7360235493732992,False,False
GCN5_SPT3,digenic,C16:0,0.20622404907825176,0.13208460117892717,0.07770625553810552,0.05777837097232896,3.931353978223467,0.09230864001496344,0.20622404907825176,False,False
GCN5_SPT3,digenic,C18:0,0.1489263408215827,0.08250075100655266,0.04772290604960369,0.07058220733619369,2.398619229549317,0.1065395202669407,0.1489263408215827,False,False
GCN5_SPT3,digenic,C16:1,-0.34466221701689337,0.48003097737840333,0.28501053846446467,0.3061819161730288,3.2917245520177363,0.3548030788271149,0.34466221701689337,False,False
GCN5_SPT3,digenic,C18:1,0.1035411811251552,0.69007715348515,0.4044088325755748,0.8150410122118217,2.8939908209558305,0.824198776393977,0.1035411811251552,False,False
GCN5_SPT3,digenic,Total Titer,0.14499678420848028,0.1452902163165668,0.08766558384838795,0.1682314294176268,4.316080189879091,0.21225460720915532,0.14499678420848028,False,False
MED4_SPT3,digenic,C14:0,-1.5855501291851803,0.3918144879195373,0.22621420007274026,0.0023332891670626577,3.9282252449859607,0.010861863363912372,1.5855501291851803,True,True
MED4_SPT3,digenic,C16:0,0.7238721431453461,0.16947308917097767,0.09784533365326142,0.008123171556063458,2.605808990932366,0.02736564069239759,0.7238721431453461,True,True
MED4_SPT3,digenic,C18:0,0.44838149059478527,0.08973034704712907,0.05180584002213852,0.003909140327720495,2.8563314610426485,0.015078112692636196,0.44838149059478527,True,True
