gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RGR1_YAP6,digenic,C18:0,0.43790696894118153,0.1868561294794589,0.10788143665469718,0.016031298573647712,0.04012927075259518,0.43790696894118153,True,True
RGR1_YAP6,digenic,C16:1,-0.40656232636913203,0.327311004605275,0.18897309661758235,0.1555302946846231,0.20686295352141987,0.40656232636913203,False,False
RGR1_YAP6,digenic,C18:1,0.30084626220332156,0.056562969359923776,0.03265664558611655,0.0042603904666438375,0.015135597710445212,0.30084626220332156,True,True
RGR1_YAP6,digenic,Total Titer,0.20969027179527644,0.08447969523241847,0.04877437478349435,0.015351200939103249,0.039854079361133436,0.20969027179527644,True,True
OPI1_YAP6,digenic,C14:0,-0.2993709494538599,0.49834513651645823,0.28771969871711794,0.35366150883253034,0.3962182879036647,0.2993709494538599,False,False
OPI1_YAP6,digenic,C16:0,0.4848712434049204,0.17300952970499642,0.09988709854755023,0.0057498398493918135,0.01965135138399734,0.4848712434049204,True,True
OPI1_YAP6,digenic,C18:0,0.49602509758307145,0.21742716534018341,0.12553163243829218,0.009695455217056503,0.02908636565116951,0.49602509758307145,True,True
OPI1_YAP6,digenic,C16:1,-0.2703269448330803,0.3435024091522212,0.19832120839131986,0.27976707194013883,0.32828883970891887,0.2703269448330803,False,False
OPI1_YAP6,digenic,C18:1,0.03221484433987354,0.15910948899340183,0.09186190630096434,0.7565136084490538,0.7707874501179038,0.03221484433987354,False,False
OPI1_YAP6,digenic,Total Titer,0.281230702678266,0.10403684415106208,0.060065699976254834,0.022736568548242575,0.04958708924027684,0.281230702678266,True,True
RFX1_YAP6,digenic,C14:0,-1.0110280058580017,0.4254792943759376,0.24565058514255964,0.03317279931828887,0.06219899872179163,1.0110280058580017,True,False
RFX1_YAP6,digenic,C16:0,0.31739020758632774,0.2775741679757862,0.16025752060090656,0.09743220823771415,0.13630412551390061,0.31739020758632774,False,False
RFX1_YAP6,digenic,C18:0,0.25640469293487367,0.28646920460110487,0.16539307239098586,0.17331999185867186,0.22716697962058935,0.25640469293487367,False,False
RFX1_YAP6,digenic,C16:1,-0.1141076963242138,0.32407037965841434,0.18710212093216974,0.6022502474624494,0.6302618868793074,0.1141076963242138,False,False
RFX1_YAP6,digenic,C18:1,0.536475835034479,0.1563490060011649,0.09026814070230296,0.0159283852266765,0.04012927075259518,0.536475835034479,True,True
RFX1_YAP6,digenic,Total Titer,0.2119252292620064,0.17782128660724647,0.10266516769033934,0.10527549208869713,0.14428620743120926,0.2119252292620064,False,False
GCN5_RFX1,digenic,C14:0,-0.8742249586282786,0.29560787648897213,0.17079854978504216,0.026688871556385108,0.05459087363806045,0.8742249586282786,True,False
GCN5_RFX1,digenic,C16:0,0.17682225676625285,0.18777874530907615,0.10995393886373263,0.21670972910362152,0.26764194525256507,0.17682225676625285,False,False
GCN5_RFX1,digenic,C18:0,0.09786027446287371,0.18723599823643933,0.10815440568826691,0.45174840964704654,0.49582142522236816,0.09786027446287371,False,False
GCN5_RFX1,digenic,C16:1,-0.2530107174176448,0.16978079992354927,0.11564210048324802,0.21362147483803184,0.26764194525256507,0.2530107174176448,False,False
GCN5_RFX1,digenic,C18:1,0.2618155287336791,0.22677412083254528,0.15661812538540706,0.3082348027992623,0.3541421138544716,0.2618155287336791,False,False
GCN5_RFX1,digenic,Total Titer,0.05850239955000114,0.1470687802893564,0.0895962893374901,0.5508857332793973,0.5832907764134795,0.05850239955000114,False,False
RFX1_RGR1,digenic,C14:0,-1.7171493506601934,0.5408085117110413,0.3122359398164106,0.025492589224242357,0.05316143353793321,1.7171493506601934,True,False
RFX1_RGR1,digenic,C16:0,0.36615161844607547,0.18964983487491716,0.1094943832168015,0.05265075192321067,0.08169944263946483,0.36615161844607547,False,False
RFX1_RGR1,digenic,C18:0,0.3325530415720659,0.2013124161557508,0.1162277776587367,0.066857773751966,0.100286660627949,0.3325530415720659,False,False
RFX1_RGR1,digenic,C16:1,-0.3440033337126718,0.08423037229175608,0.04863042811658777,0.0008266553585023484,0.0058290634248063635,0.3440033337126718,True,True
RFX1_RGR1,digenic,C18:1,0.662387465913216,0.10954310719985359,0.0632447424297035,0.0001638454715582327,0.002159016040471164,0.662387465913216,True,True
RFX1_RGR1,digenic,Total Titer,0.2075642740667052,0.12755272914258867,0.073642602506345,0.07198859302831839,0.10679626438267015,0.2075642740667052,False,False
OPI1_SPT3,digenic,C14:0,-0.2736227934386368,0.3477523880805181,0.20077493486962236,0.22653509035411767,0.27676232758195374,0.2736227934386368,False,False
OPI1_SPT3,digenic,C16:0,0.5353976212667467,0.2397604351865212,0.13842575179595984,0.021655689125440025,0.048322612098089315,0.5353976212667467,True,True
OPI1_SPT3,digenic,C18:0,0.5200870139020926,0.27676194651386965,0.15978858432122744,0.04188010741674186,0.07023372051254846,0.5200870139020926,True,False
OPI1_SPT3,digenic,C16:1,-0.2312344778187616,0.19407160928542141,0.11204729586300194,0.10810044753673798,0.14740970118646088,0.2312344778187616,False,False
OPI1_SPT3,digenic,C18:1,-0.09360676905394572,0.3697492742474292,0.21347484301942204,0.701919617397285,0.7220150759949601,0.09360676905394572,False,False
OPI1_SPT3,digenic,Total Titer,0.3038115447957679,0.15819594011616506,0.09133446861077382,0.04506978517735494,0.072433583320749,0.3038115447957679,True,False
RGR1_SPT3,digenic,C14:0,-1.2858915334505596,0.6454888444593188,0.3726731581074882,0.027746918262336884,0.05628567650893083,1.2858915334505596,True,False
RGR1_SPT3,digenic,C16:0,0.4420943401480443,0.28132919683586305,0.16242548752408675,0.07364964743836011,0.10807285221933277,0.4420943401480443,False,False
RGR1_SPT3,digenic,C18:0,0.4351075371039357,0.2654853493119706,0.15327803789116803,0.07238623905627617,0.10679936909942385,0.4351075371039357,False,False
RGR1_SPT3,digenic,C16:1,-0.3673811611763056,0.22321075292438186,0.1288707882869109,0.03932675048443768,0.06678127440753567,0.3673811611763056,True,False
RGR1_SPT3,digenic,C18:1,0.3580393278563998,0.42715168859397995,0.24661614239453755,0.23343463831875977,0.283906992549843,0.3580393278563998,False,False
RGR1_SPT3,digenic,Total Titer,0.24100276735001114,0.23693707528136612,0.13679568419469934,0.1971141299788295,0.2522313511577439,0.24100276735001114,False,False
GCN5_YAP6,digenic,C14:0,-0.4139560048694222,0.4724213252413346,0.272833481404855,0.21474179417423866,0.26764194525256507,0.4139560048694222,False,False
GCN5_YAP6,digenic,C16:0,0.25295498883689094,0.15743106594779063,0.09272412370495439,0.05609435829014586,0.08508694796819878,0.25295498883689094,False,False
GCN5_YAP6,digenic,C18:0,0.22115450000559211,0.15019703633673542,0.08678317252034788,0.12232795704121813,0.16528687679933673,0.22115450000559211,False,False
GCN5_YAP6,digenic,C16:1,-0.17483415114169598,0.4111431804737685,0.24517509460243472,0.5119014367790566,0.54629797600927,0.17483415114169598,False,False
GCN5_YAP6,digenic,C18:1,0.11134999809202051,0.35280423076141254,0.22108221318587606,0.651174843447508,0.6762200297339507,0.11134999809202051,False,False
GCN5_YAP6,digenic,Total Titer,0.13363346788480712,0.12482668204597475,0.07753485152701682,0.17856491093101567,0.23179099015083765,0.13363346788480712,False,False
RFX1_RPD3,digenic,C14:0,-0.9846085508792846,0.11806402516636062,0.06816429671140907,2.4025921114168014e-05,0.0013411865815338153,0.9846085508792846,True,True
RFX1_RPD3,digenic,C16:0,0.7513313010959997,0.1918723474832929,0.11077755146952459,0.008402738583064284,0.0263806909003181,0.7513313010959997,True,True
RFX1_RPD3,digenic,C18:0,0.7365715627831029,0.1944020188950862,0.11223805794008475,0.011207743582777319,0.031853587024735536,0.7365715627831029,True,True
RFX1_RPD3,digenic,C16:1,0.14695447273116702,0.0457519571618667,0.02641490478335597,0.004365335749550336,0.015307021459462217,0.14695447273116702,True,True
RFX1_RPD3,digenic,C18:1,1.0232936549740694,0.08099028907387076,0.04675976519854489,2.375576487811948e-05,0.0013411865815338153,1.0232936549740694,True,True
RFX1_RPD3,digenic,Total Titer,0.6230801407805283,0.1301455997139807,0.07513959702871204,0.0036305523471962253,0.013806325827365927,0.6230801407805283,True,True
RFX1_SPT3,digenic,C14:0,-0.9584312310988425,0.21273008941012753,0.1228197743856703,0.0013884121174925212,0.007934906906126166,0.9584312310988425,True,True
RFX1_SPT3,digenic,C16:0,0.36669707924579,0.22261692685944826,0.12852794264846967,0.042597455295563025,0.07044680642489315,0.36669707924579,True,False
RFX1_SPT3,digenic,C18:0,0.3089250763328899,0.2120548598531595,0.12242993041919,0.07620182997194935,0.11002403257981994,0.3089250763328899,False,False
RFX1_SPT3,digenic,C16:1,-0.08166089849581315,0.16141766045362083,0.0931945297148576,0.46143340692039625,0.5044008901558987,0.08166089849581315,False,False
