hgnc.symbol:LIPE	'LIPE'	'hgnc.symbol:LIPE'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRF8	'IRF8'	'hgnc.symbol:IRF8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ICAM1	'ICAM1'	'hgnc.symbol:ICAM1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MAZ	'MAZ'	'hgnc.symbol:MAZ'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:S100A2	'S100A2'	'hgnc.symbol:S100A2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BAX	'BAX'	'hgnc.symbol:BAX'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCNG1	'CCNG1'	'hgnc.symbol:CCNG1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CHKA	'CHKA'	'hgnc.symbol:CHKA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GADD45A	'GADD45A'	'hgnc.symbol:GADD45A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TFF3	'TFF3'	'hgnc.symbol:TFF3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CDKN2A	'CDKN2A'	'hgnc.symbol:CDKN2A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LPL	'LPL'	'hgnc.symbol:LPL'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NPR1	'NPR1'	'hgnc.symbol:NPR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CYP17A1	'CYP17A1'	'hgnc.symbol:CYP17A1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RAC2	'RAC2'	'hgnc.symbol:RAC2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GFAP	'GFAP'	'hgnc.symbol:GFAP'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ITPR1	'ITPR1'	'hgnc.symbol:ITPR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:AK1	'AK1'	'hgnc.symbol:AK1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:HHEX	'HHEX'	'hgnc.symbol:HHEX'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:VCAM1	'VCAM1'	'hgnc.symbol:VCAM1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ADGRE4P	'ADGRE4P'	'hgnc.symbol:ADGRE4P'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FASN	'FASN'	'hgnc.symbol:FASN'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:INS	'INS'	'hgnc.symbol:INS'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FGF2	'FGF2'	'hgnc.symbol:FGF2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BIRC3	'BIRC3'	'hgnc.symbol:BIRC3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SOD1	'SOD1'	'hgnc.symbol:SOD1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GP9	'GP9'	'hgnc.symbol:GP9'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ITGA2B	'ITGA2B'	'hgnc.symbol:ITGA2B'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PRL	'PRL'	'hgnc.symbol:PRL'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:POU1F1	'POU1F1'	'hgnc.symbol:POU1F1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PREB	'PREB'	'hgnc.symbol:PREB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:POMC	'POMC'	'hgnc.symbol:POMC'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PTGS2	'PTGS2'	'hgnc.symbol:PTGS2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TICAM2	'TICAM2'	'hgnc.symbol:TICAM2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CHGA	'CHGA'	'hgnc.symbol:CHGA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ST3GAL4	'ST3GAL4'	'hgnc.symbol:ST3GAL4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
