genes,n_triples,worst_triple,mean_triple,median_triple,n_above_zero,gene_names
"(14, 136, 199, 360, 488)",10,0.01007080078125,0.04042510986328125,0.0242156982421875,10,"YBR028C, YER059W, YGL096W, YKL166C, YPL181W"
"(98, 309, 348, 365, 386)",10,0.0040130615234375,0.023675537109375,0.02413177490234375,10,"YDR423C, YHR162W, YJR082C, YKR028W, YLR174W"
"(14, 136, 193, 360, 488)",10,0.01007080078125,0.1063507080078125,0.0241241455078125,10,"YBR028C, YER059W, YGL060W, YKL166C, YPL181W"
"(37, 108, 324, 459, 491)",10,0.0042266845703125,0.019489288330078125,0.0241241455078125,10,"YCR026C, YEL016C, YIL111W, YOR002W, YPL230W"
"(136, 193, 292, 488, 515)",10,0.0005283355712890625,0.2049236297607422,0.02410888671875,10,"YER059W, YGL060W, YHR003C, YPL181W, YPR140W"
"(193, 246, 292, 348, 492)",10,-0.006702423095703125,0.023602676391601563,0.02408599853515625,7,"YGL060W, YGR121C, YHR003C, YJR082C, YPL256C"
"(326, 360, 365, 386, 404)",10,0.0013523101806640625,0.01785755157470703,0.0240631103515625,10,"YIL124W, YKL166C, YKR028W, YLR174W, YML007W"
"(14, 136, 199, 275, 486)",10,-0.005580902099609375,0.028006744384765626,0.024059295654296875,9,"YBR028C, YER059W, YGL096W, YGR279C, YPL089C"
"(98, 135, 193, 348, 365)",10,-0.0220947265625,0.014654541015625,0.02405548095703125,7,"YDR423C, YER056C, YGL060W, YJR082C, YKR028W"
"(98, 174, 365, 391, 498)",10,-0.0013790130615234375,0.020563316345214844,0.0240478515625,9,"YDR423C, YFR015C, YKR028W, YLR258W, YPR008W"
"(174, 261, 365, 391, 498)",10,-0.0014858245849609375,0.017000389099121094,0.0240478515625,8,"YFR015C, YGR202C, YKR028W, YLR258W, YPR008W"
"(98, 211, 246, 348, 365)",10,0.0101318359375,0.02119903564453125,0.0240325927734375,10,"YDR423C, YGL197W, YGR121C, YJR082C, YKR028W"
"(98, 174, 326, 365, 386)",10,0.0005664825439453125,0.020220565795898437,0.02402496337890625,10,"YDR423C, YFR015C, YIL124W, YKR028W, YLR174W"
