rank,direction,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,min_train_records,no_trigenic_labels
109,negative,YHL002W + YMR186W + YOL090W,YHL002W,YMR186W,YOL090W,-0.1392822265625,-0.331787109375,-0.1346435546875,-0.201904296875,0.09186053942933856,-0.331787109375,-0.1346435546875,True,10,False
110,negative,YHL029C + YJL187C + YMR238W,YHL029C,YJL187C,YMR238W,-0.1392822265625,-0.154052734375,-0.311279296875,-0.2015380859375,0.07783269239756703,-0.311279296875,-0.1392822265625,True,292,False
111,negative,YGL096W + YHL029C + YLR014C,YGL096W,YHL029C,YLR014C,-0.297119140625,-0.1602783203125,-0.146728515625,-0.20137532552083334,0.06792671492028739,-0.297119140625,-0.146728515625,True,815,False
112,negative,YBR229C + YKL101W + YPL256C,YBR229C,YKL101W,YPL256C,-0.099853515625,-0.35791015625,-0.1451416015625,-0.20096842447916666,0.11250417195343393,-0.35791015625,-0.099853515625,True,760,False
113,negative,YHL029C + YLR014C + YPL214C,YHL029C,YLR014C,YPL214C,-0.247314453125,-0.225830078125,-0.1295166015625,-0.20088704427083334,0.051223039487928175,-0.247314453125,-0.1295166015625,True,10,False
114,negative,YDL170W + YHL029C + YMR238W,YDL170W,YHL029C,YMR238W,-0.1585693359375,-0.2376708984375,-0.205810546875,-0.20068359375,0.03249593342501809,-0.2376708984375,-0.1585693359375,True,292,False
115,negative,YER088C + YHL029C + YPL227C,YER088C,YHL029C,YPL227C,-0.1715087890625,-0.1888427734375,-0.2415771484375,-0.20064290364583334,0.02979738300674802,-0.2415771484375,-0.1715087890625,True,10,False
116,negative,YDL170W + YHL029C + YOR241W,YDL170W,YHL029C,YOR241W,-0.2021484375,-0.316162109375,-0.08203125,-0.20011393229166666,0.09559434863526559,-0.316162109375,-0.08203125,True,0,True
117,negative,YLR386W + YMR238W + YPL256C,YLR386W,YMR238W,YPL256C,-0.1693115234375,-0.285400390625,-0.143798828125,-0.19950358072916666,0.06162478326256849,-0.285400390625,-0.143798828125,True,292,False
118,negative,YLR386W + YNL323W + YPL256C,YLR386W,YNL323W,YPL256C,-0.158935546875,-0.34521484375,-0.0938720703125,-0.1993408203125,0.10651365180414815,-0.34521484375,-0.0938720703125,True,0,True
119,negative,YDR363W-A + YEL027W + YHL029C,YDR363W-A,YEL027W,YHL029C,-0.1519775390625,-0.2327880859375,-0.212890625,-0.19921875,0.034378057401690226,-0.2327880859375,-0.1519775390625,True,0,True
120,negative,YHL029C + YOR113W + YPL046C,YHL029C,YOR113W,YPL046C,-0.266845703125,-0.1531982421875,-0.1766357421875,-0.19889322916666666,0.04899308209231162,-0.266845703125,-0.1531982421875,True,485,False
121,negative,YGR189C + YKL101W + YPL256C,YGR189C,YKL101W,YPL256C,-0.1966552734375,-0.2135009765625,-0.1864013671875,-0.1988525390625,0.011171934754538624,-0.2135009765625,-0.1864013671875,True,10,False
122,negative,YGL006W + YKL101W + YPL256C,YGL006W,YKL101W,YPL256C,-0.0750732421875,-0.27880859375,-0.2415771484375,-0.198486328125,0.08858004841376335,-0.27880859375,-0.0750732421875,True,10,False
123,negative,YEL027W + YGL096W + YHL029C,YEL027W,YGL096W,YHL029C,-0.28369140625,-0.1524658203125,-0.1585693359375,-0.1982421875,0.06047307921428161,-0.28369140625,-0.1524658203125,True,0,True
124,negative,YGR184C + YKL101W + YPL256C,YGR184C,YKL101W,YPL256C,-0.1048583984375,-0.26904296875,-0.2208251953125,-0.1982421875,0.06890397890576731,-0.26904296875,-0.1048583984375,True,10,False
125,negative,YDL170W + YGL175C + YHL029C,YDL170W,YGL175C,YHL029C,-0.197509765625,-0.27294921875,-0.12310791015625,-0.19785563151041666,0.06117294694922953,-0.27294921875,-0.12310791015625,True,506,False
126,negative,YBR023C + YHL029C + YLR014C,YBR023C,YHL029C,YLR014C,-0.2100830078125,-0.2330322265625,-0.149658203125,-0.19759114583333334,0.03516477316689826,-0.2330322265625,-0.149658203125,True,287,False
