gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YBR246W,YKR054C,YLL012W,YBR246W+YKR054C+YLL012W,YBR246W+YKR054C+YLL012W,-0.009267636986180694,0.030975456848293247,0.029374566899424435,0.007979121024513095,-0.02067563407853317,0.16996513254768802,-0.00018956805509647706,0.026230977033302145,0.06963990347349812,,326,866.0,panel_24
YKL033W-A,YLL005C,YLR351C,YKL033W-A+YLL005C+YLR351C,YKL033W-A+YLL005C+YLR351C,-0.002251766334205329,0.263757934061274,-0.0015062374254555698,0.01746372719960937,0.0030646563444266927,0.10352428369241441,-0.00023111580507806864,0.002878461200803969,0.12824864831776592,,327,711.0,panel_24
YLL005C,YLR104W,YPL081W,YLL005C+YLR104W+YPL081W,YLL005C+YLR104W+YPL081W,-0.015750406588649644,0.5812534059101191,0.0014471286772335026,0.19351879469867134,0.013471264932172301,0.5984056651640082,-0.00027733765974794687,0.01468696223622301,0.45772595525759957,,328,184.0,panel_24
YJL017W,YLL005C,YLR104W,YJL017W+YLL005C+YLR104W,YJL016W+YLL005C+YLR104W,-0.0014925315051927705,,-0.0015090740107826734,,0.0021537938217110197,,-0.0002826038980881414,0.0021099985309010793,,,329,,panel_24
YBR158W,YJL017W,YMR244W,YBR158W+YJL017W+YMR244W,YBR158W+YJL016W+YMR244W,0.0014065887917543516,,-0.0018379293686584374,,-0.000446953332897692,,-0.0002927646366005926,0.0016277454158625194,,,330,,panel_24
YBR246W,YDR155C,YLL005C,YBR246W+YDR155C+YLL005C,YBR246W+YDR155C+YLL005C,-0.0017837693486475485,-0.02362267749003285,-0.005039623952015168,0.0007595956361835608,0.005928397097563178,0.06577037184443987,-0.0002983320676998461,0.005632873544889891,0.014302429996863528,,331,957.0,panel_24
YDR155C,YGL087C,YMR244W,YDR155C+YGL087C+YMR244W,YDR155C+YGL087C+YMR244W,0.009465606745357097,0.3046964686607737,-0.01888301019263911,0.2724250154171515,0.008426892374247343,0.0934866140810585,-0.00033017035767822386,0.016075622269214686,0.22353603271966124,,332,453.0,panel_24
YBR158W,YDR155C,YOR126C,YBR158W+YDR155C+YOR126C,YBR158W+YDR155C+YOR126C,-0.001891492659353255,0.5112092923941336,0.000888032901489616,0.4450290436212211,-6.165756288532831e-05,0.48361683048313475,-0.00035503910691632245,0.0014127969187495515,0.4799517221661631,,333,163.0,panel_24
YER079W,YLR104W,YPR053C,YER079W+YLR104W+YPR053C,YER079W+YLR104W+YPR053C,-0.016655971135446965,0.03996827510931725,-0.0005473212241900631,0.00834055987698707,0.016088708252526552,0.5098762386954461,-0.0003715280357034917,0.016373047501584217,0.18606169122725014,0.509765625,334,535.0,panel_24
YGL087C,YJL017W,YKL200C,YGL087C+YJL017W+YKL200C,YGL087C+YJL016W+YKL201C,0.011557619061857195,,-0.021111210656651794,,0.008429362249141665,,-0.00037474311521764475,0.01802629502266867,,,335,,panel_24
YDR155C,YLL012W,YMR244W,YDR155C+YLL012W+YMR244W,YDR155C+YLL012W+YMR244W,2.6859171065837448e-05,0.3563689664269514,-0.008823928085729927,0.14044497664588737,0.007486818396054447,0.10809893695125795,-0.00043675017286988065,0.008165250327828211,0.2016376266746989,,336,490.0,panel_24
YBR158W,YKL033W-A,YOR126C,YBR158W+YKL033W-A+YOR126C,YBR158W+YKL033W-A+YOR126C,0.009017795802208513,0.6282517691358319,-0.00581282771468576,0.5681869456844636,-0.004560778370929204,0.4982961378687888,-0.00045193676113548337,0.008224888023903034,0.5649116175630281,,337,99.0,panel_24
