gene,is_metabolic,distinct_screens,n_triples,mean_predicted_tau,max_predicted_tau,frac_above_0.08,frac_above_0.16
YJL137C,True,10,47497,0.0014287099085241578,0.055918375651041664,0.0,0.0
YNL202W,True,0,17644,-0.0002677795892939009,0.055826822916666664,0.0,0.0
YDL025C,True,10,47852,-0.0060429633886079585,0.055775960286458336,0.0,0.0
YGR282C,True,10,12334,-0.0073478937819161155,0.055328369140625,0.0,0.0
YIR013C,False,11,20163,0.0032414861851022005,0.054972330729166664,0.0,0.0
YBR249C,True,10,46288,-0.002659401904329312,0.054840087890625,0.0,0.0
YML059C,True,11,55046,-0.009010961935030423,0.054718017578125,0.0,0.0
YBR182C,False,11,25376,0.006341630358839295,0.054682413736979164,0.0,0.0
YFR013W,False,316,32959,-0.0045955664447696574,0.05464363098144531,0.0,0.0
YER175C,True,11,42279,-0.0024884325181813733,0.05439313252766927,0.0,0.0
YCL050C,True,11,18451,0.0019809756199652365,0.054219563802083336,0.0,0.0
YGR138C,True,11,37121,0.0006441240542401451,0.054209391276041664,0.0,0.0
YGR015C,True,293,31227,-0.0011495732765850494,0.054148356119791664,0.0,0.0
YIL035C,True,10,2916,-0.011090269767916468,0.05377197265625,0.0,0.0
YGR143W,True,10,29942,-0.013025658691165372,0.053403218587239586,0.0,0.0
YFR053C,True,11,44847,-0.001068377519444044,0.0532379150390625,0.0,0.0
YJL089W,False,9,35755,-0.006839906689793181,0.053232828776041664,0.0,0.0
YMR136W,False,10,36735,-0.0051701525703791214,0.052937825520833336,0.0,0.0
YGL035C,False,10,27988,-0.001842675381234713,0.052721659342447914,0.0,0.0
YNR019W,True,11,30185,-0.001553881055810741,0.05266634623209635,0.0,0.0
YER024W,True,0,14645,-0.003712370488726945,0.052652994791666664,0.0,0.0
YER129W,True,313,46995,-0.0025912629690061045,0.052424112955729164,0.0,0.0
YDR466W,True,290,55718,-0.005548297473872737,0.052419026692708336,0.0,0.0
YPR140W,True,312,26547,-0.007198986932778442,0.052296956380208336,0.0,0.0
YPL140C,True,10,37452,-0.004143473531331625,0.052144368489583336,0.0,0.0
YLR113W,True,9,2852,-0.006771178836853719,0.0521240234375,0.0,0.0
YCL064C,True,10,55593,-0.004802088915209195,0.052118937174479164,0.0,0.0
YHR006W,False,287,50971,-0.007061580993481608,0.051493326822916664,0.0,0.0
YIL146C,False,10,25717,-0.0037928691795829626,0.051116943359375,0.0,0.0
YPR008W,False,12,36062,0.0009841288729193355,0.051055908203125,0.0,0.0
YFL030W,True,11,22155,-0.007887258775740187,0.050791422526041664,0.0,0.0
YMR280C,False,10,44295,-0.0010070797273643256,0.050760904947916664,0.0,0.0
YFL052W,False,11,20548,-0.007594867066215102,0.050750732421875,0.0,0.0
YLR146C,True,9,41070,-0.01042706844394697,0.050654093424479164,0.0,0.0
