triple,array_gene,array_allele,array_perturbation_type,f_triple,se_triple,tau,tau_p_value,n_paths,n_monotone,n_monotone_within_se,n_monotone_after_first,max_valley_depth,min_valley_depth,best_min_rung,endpoint_gain,positive_call
YER059W+YIL050W+YGR134W,YGR134W,caf130_delta,KanMX_deletion,0.9746,0.0167,0.028611,0.1429,6,0,0,1,0.10441999999999996,-0.025700000000000056,0.9746,-0.025399999999999978,False
YER059W+YIL050W+YCR095C,YCR095C,oca4_delta,KanMX_deletion,0.9742,0.01935,0.066807,0.1012,6,0,1,1,0.10441999999999996,-0.010999999999999899,0.9742,-0.025800000000000045,False
YER059W+YIL050W+YAR031W,YAR031W,prm9_delta,KanMX_deletion,0.9736,0.02155,0.044627,0.1595,6,0,1,1,0.10441999999999996,-0.011700000000000044,0.9736,-0.02639999999999998,False
YER059W+YIL050W+YJL099W,YJL099W,chs6_delta,KanMX_deletion,0.9735,0.0375,0.012387,0.4539,6,0,0,1,0.10441999999999996,-0.02639999999999998,0.9735,-0.026499999999999968,False
YER059W+YIL050W+YHR004C,YHR004C,nem1_delta,KanMX_deletion,0.9735,0.02765,0.124064,0.08227,6,0,0,2,0.10441999999999996,0.0655,0.9345,-0.026499999999999968,False
YER059W+YIL050W+YLR080W,YLR080W,emp46_delta,KanMX_deletion,0.9725,0.02995,0.007665,0.2685,6,0,0,1,0.10441999999999996,0.05278000000000005,0.94722,-0.02749999999999997,False
YER059W+YIL050W+YMR162C,YMR162C,dnf3_delta,KanMX_deletion,0.9722,0.04365,0.086723,0.3005,6,0,1,1,0.10441999999999996,-0.02289999999999992,0.9722,-0.027800000000000047,False
YER059W+YIL050W+YHR167W,YHR167W,thp2_delta,KanMX_deletion,0.9711,0.03735,-0.028512,0.2653,6,0,1,1,0.10441999999999996,0.005700000000000038,0.9711,-0.028900000000000037,False
YER059W+YIL050W+YGL087C,YGL087C,mms2_delta,KanMX_deletion,0.971,0.0233,0.099321,0.3119,6,0,1,2,0.10441999999999996,0.0040000000000000036,0.971,-0.029000000000000026,False
YER059W+YIL050W+YBR062C,YBR062C,ybr062c_delta,KanMX_deletion,0.9707,0.02765,0.063998,0.1473,6,0,0,2,0.10441999999999996,-0.02629999999999999,0.9707,-0.029299999999999993,False
YER059W+YIL050W+YBR092C,YBR092C,pho3_delta,KanMX_deletion,0.9707,0.028,-0.041898,0.2273,6,0,0,1,0.10441999999999996,0.013700000000000045,0.9707,-0.029299999999999993,False
YER059W+YIL050W+YDR229W,YDR229W,ivy1_delta,KanMX_deletion,0.9702,0.02735,0.071114,0.4974,6,0,1,1,0.10441999999999996,0.007000000000000006,0.9702,-0.02980000000000005,False
YER059W+YIL050W+YDR139C,YDR139C,rub1_delta,KanMX_deletion,0.97,0.05385,0.052886,0.4545,6,0,1,1,0.10441999999999996,0.013499999999999956,0.97,-0.030000000000000027,False
