gene,appearances_in_top_10000,trigenic_train_records
YLR233C,10,0
YGR194C,10,10
YCR098C,10,321
YMR280C,10,10
YOR231W,10,9
YAL054C,10,341
YHR082C,10,761
YOR028C,10,1041
YKL127W,10,289
YFL033C,10,11
YEL016C,9,1114
YOR209C,9,9
YER169W,9,1021
YLR017W,9,11
YER152C,9,11
YKL046C,9,9
YCR107W,9,10
YEL062W,9,0
YER139C,9,11
YCL064C,9,10
YCR086W,9,310
YLR113W,8,9
YGR038W,8,10
YHL016C,8,10
YDL091C,8,803
YPR006C,8,11
YER005W,8,0
YOR371C,8,4129
YHR109W,8,10
YAR015W,8,306
YER024W,8,0
YHR092C,7,10
YAL056W,7,4129
YOR156C,7,270
YPR196W,7,11
YPL087W,7,1050
YHR094C,7,1052
YGR071C,7,3622
YGR184C,7,10
YGR189C,7,10
YER129W,7,1388
YML007W,7,1319
YBR278W,7,4140
YLR258W,6,1114
YMR031C,6,1099
YDL182W,6,0
YBR132C,6,10
YGL254W,6,11
YFR030W,6,11
YFL053W,6,11
YDL214C,6,0
YDL024C,6,10
YFR053C,6,11
YIL042C,6,10
YML100W,6,1098
YHR006W,6,287
YLR047C,6,11
YGR243W,6,1093
YDR253C,6,9
YDR423C,6,1049
YPR009W,6,11
YGL166W,5,1040
YEL012W,5,0
YOR285W,5,9
YPL212C,5,293
