gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
GCN5:MED4:TFC7,trigenic,C160,-1.8173581484938959,0.1624543648258529,0.27836541954394944,6.635279175894709e-11,3.3514930531304907e-10,1.8173581484938959,True,True
GCN5:OPI1:RFX1,trigenic,C160,-0.5815089523383354,0.5590541437221466,0.2704359990538525,0.03153429172755576,0.04855201992267528,0.5815089523383354,True,True
GCN5:OPI1:RGR1,trigenic,C160,-0.03417755281067808,0.9663999023848189,0.2704359990538523,0.8994315682693386,0.9170311561139497,0.03417755281067808,False,False
GCN5:OPI1:RPD3,trigenic,C160,-0.5322736930079813,0.5872681829715253,0.2704359990538524,0.04904436696729356,0.07100145417905214,0.5322736930079813,True,False
GCN5:OPI1:SPT3,trigenic,C160,-0.4595085136768009,0.6315939890433065,0.2704359990538521,0.0892928846683517,0.1214285107440497,0.4595085136768009,False,False
GCN5:OPI1:YAP6,trigenic,C160,-0.606539820451782,0.5452342171212893,0.2704359990538524,0.0249082922979078,0.039017736352735324,0.606539820451782,True,True
GCN5:OPI1:TFC7,trigenic,C160,-1.6584754931185568,0.19042906935046047,0.30081374154562995,3.521732272303105e-08,1.2222907754589113e-07,1.6584754931185568,True,True
GCN5:RFX1:RGR1,trigenic,C160,-0.09073866466899982,0.9132563458654684,0.2704359990538522,0.7372273432207261,0.7747930677160497,0.09073866466899982,False,False
GCN5:RFX1:RPD3,trigenic,C160,-0.5248126814016127,0.5916661840675081,0.27043599905385224,0.05230475760684235,0.07517011353070632,0.5248126814016127,False,False
GCN5:RFX1:SPT3,trigenic,C160,-0.2272073382639701,0.7967555672469099,0.27043599905385185,0.40082318239609416,0.45298510339284614,0.2272073382639701,False,False
GCN5:RFX1:YAP6,trigenic,C160,-0.19175374796622435,0.8255101270119224,0.2704359990538522,0.47829091880498364,0.5302441317098923,0.19175374796622435,False,False
GCN5:RFX1:TFC7,trigenic,C160,-0.9640344518889559,0.3813512349974665,0.2704359990538523,0.0003642148500699305,0.0007623101513091568,0.9640344518889559,True,True
GCN5:RGR1:RPD3,trigenic,C160,-0.22962830720694855,0.7948289798086289,0.2704359990538518,0.3958233864339441,0.4483582981345591,0.22962830720694855,False,False
GCN5:RGR1:SPT3,trigenic,C160,-0.2756366866514842,0.7590886677144382,0.27043599905385185,0.3080934304902757,0.3577981974056596,0.2756366866514842,False,False
GCN5:RGR1:YAP6,trigenic,C160,0.08963685145969658,1.0937770080506481,0.27043599905385224,0.7403022579745079,0.7763763086808928,0.08963685145969658,False,False
GCN5:RGR1:TFC7,trigenic,C160,-1.1212067621338797,0.32588629000283015,0.27841159788652675,5.645572818111623e-05,0.0001337109351658016,1.1212067621338797,True,True
GCN5:RPD3:SPT3,trigenic,C160,-0.6377440719294137,0.5284833005847124,0.270435999053852,0.0183634488069101,0.029657119606592168,0.6377440719294137,True,True
GCN5:RPD3:YAP6,trigenic,C160,-0.3882899606126533,0.6782156589221539,0.2704359990538521,0.1510614141293949,0.19148629960064142,0.3882899606126533,False,False
GCN5:RPD3:TFC7,trigenic,C160,-0.8620044570986205,0.4223147216107859,0.2704359990538526,0.0014352734060143475,0.0028026048756493176,0.8620044570986205,True,True
GCN5:SPT3:YAP6,trigenic,C160,-0.7832210936539348,0.45693181814301964,0.2704359990538521,0.0037778124093858613,0.006849879643391946,0.7832210936539348,True,True
GCN5:SPT3:TFC7,trigenic,C160,-1.5783079383816316,0.20632391579009532,0.27043599905385185,5.341739106769189e-09,2.1069010819527876e-08,1.5783079383816316,True,True
GCN5:YAP6:TFC7,trigenic,C160,-1.6177397100951376,0.19834651341979684,0.2704359990538523,2.2045650042010663e-09,9.170249387222924e-09,1.6177397100951376,True,True
MED4:OPI1:RFX1,trigenic,C160,-2.034997402981475,0.13068082188409966,0.2623155354907009,8.63998555255502e-15,9.719983746624397e-14,2.034997402981475,True,True
MED4:OPI1:RGR1,trigenic,C160,-1.6992029383463432,0.18282919213001927,0.26231553549070086,9.31275358252634e-11,4.5868786301995403e-10,1.6992029383463432,True,True
MED4:OPI1:RPD3,trigenic,C160,-2.320667913949525,0.09820796922115468,0.2623155354907009,9.001898351332472e-19,2.173629114102231e-17,2.320667913949525,True,True
MED4:OPI1:SPT3,trigenic,C160,-2.316361962358669,0.09863175973838402,0.26231553549070075,1.0426344891450935e-18,2.3459276005764603e-17,2.316361962358669,True,True
MED4:OPI1:YAP6,trigenic,C160,-2.074507776223545,0.1256182445647642,0.27043599905385196,1.7069387494580336e-14,1.7762619625449852e-13,2.074507776223545,True,True
MED4:OPI1:TFC7,trigenic,C160,-2.0862318400922795,0.12415408794636631,0.2704359990538525,1.2162189157798777e-14,1.3231392600242626e-13,2.0862318400922795,True,True
MED4:RFX1:RGR1,trigenic,C160,-2.089658771901047,0.12372934854534959,0.2623155354907009,1.636242446465095e-15,2.103740288312265e-14,2.089658771901047,True,True
MED4:RFX1:RPD3,trigenic,C160,-2.405399804354293,0.09022941428481311,0.270435379912084,5.865884760890958e-19,1.451806478320512e-17,2.405399804354293,True,True
MED4:RFX1:SPT3,trigenic,C160,-1.9820588938731984,0.13778525984416548,0.26231553549070064,4.1562087727717835e-14,3.740587895494605e-13,1.9820588938731984,True,True
MED4:RFX1:YAP6,trigenic,C160,-2.2853548743157908,0.10173795151336847,0.2623155354907011,2.979383586915135e-18,6.275722874565922e-17,2.2853548743157908,True,True
MED4:RFX1:TFC7,trigenic,C160,-2.3199299172431473,0.09828047312951203,0.2623155354907008,9.231592942212417e-19,2.176018336378641e-17,2.3199299172431473,True,True
