,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
A108_A1B,0.003454418905816269,0.005028607554650145,0.3130466300513278,0.5595057015360324,0.2751515260861024,Actin_d_iso_ratio,Actin d (iso) ratio on stage A1B,0.15394884763151465,42.0
A108_C,0.00435929145077911,0.005548551008807628,0.21433696043178085,0.46296539874139714,0.3773781398160671,Actin_d_iso_ratio,Actin d (iso) ratio on stage C,0.17471302097623223,34.0
A109,0.001181572189714181,0.0011589637008146286,0.0,0.0,0.412893040587107,actin_e_ratio,Actin e ratio,0.0,252.0
A109_A1B,0.0020788922232699335,0.002688245092860939,0.22667310774945293,0.476101993011427,0.7555454501592728,Actin_e_ratio,Actin e ratio on stage A1B,0.3597166946315456,8.0
A109_C,0.0062153643864951945,0.008412647962410801,0.26118810459363784,0.5110656558541552,0.36500857569194345,Actin_e_ratio,Actin e ratio on stage C,0.18654334712839413,29.0
A110,0.0004487955530339864,0.000880417873333425,0.4902471126185076,0.7001764867649496,0.46822388419710137,actin_f_ratio,Actin f ratio,0.327839354256565,11.0
A110_A1B,0.00041536578969123656,0.0006984281940413104,0.40528490511271,0.6366199063120082,0.9394874341894874,Actin_f_ratio,Actin f ratio on stage A1B,0.5980964023350204,3.0
A110_C,0.005154859983091522,0.006173883438622135,0.16505388636848561,0.4062682443515437,0.3072025204514128,Actin_f_ratio,Actin f ratio on stage C,0.12480662864416465,60.0
A111,0.004643517422609934,0.006457886485690602,0.28095400362037193,0.5300509443632488,0.4134186711125851,actin_ae_ratio,Actin a or e ratio,0.21913295704062513,23.0
A112,0.004847538524825192,0.006547559867235804,0.2596419699677084,0.5095507530832512,0.1499550606975735,actin_bcd_ratio,"Actin b, c or d ratio",0.07640971410709321,124.0
A112_A1B,0.002421916233622477,0.003921107974997066,0.3823388060043694,0.6183355124884624,0.07948829746677742,Actin_cd_ratio,"Actin b, c or d ratio on stage A1B",0.04915043715095516,193.0
A112_C,0.004330526881456198,0.006153364250003668,0.2962342703093487,0.5442740764627217,0.3170216617187499,Actin_cd_ratio,"Actin b, c or d ratio on stage C",0.17254667215065,35.0
A113,2.3513744993347676e-05,9.883336905030344e-05,0.7620869831789319,0.8729759350514377,2.3685667992931583,actin_n_ratio,No actin patch found ratio,2.067701816344736,1.0
A113_A1B,3.1455872677823858e-06,4.602061031451257e-05,0.9316482930955301,0.9652192979295069,,Actin_n_ratio,No actin patch found ratio on stage A1B,,
A113_C,1.8259570754010813e-06,4.159217077672976e-05,0.9560985387080907,0.9778029140415213,,Actin_n_ratio,No actin patch found ratio on stage C,,
