dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
fitness,random_forest,1e5,prot_T5_all,True,sum,50339856.0,0.6745305806932146,0.6900235872828894,,,0.6620634005372694,0.6773284235188741,,,0.3986531619167873,0.4156934814135409,,,0.0127957090061045,0.0125684387865879,,
fitness,random_forest,1e5,prot_T5_no_dubious,True,sum,18640840.0,0.6771926135855736,0.6913986974627188,,,0.6626342066873292,0.6772711507120697,,,0.3990730895046041,0.4157519511474936,,,0.0127867736116249,0.012567181102053,,
fitness,random_forest,1e5,random_1,False,mean,197266.0,0.0329875065689302,0.021072441517482,,,0.0138536200634289,0.0175474792467738,,,-0.0024839889699308,-0.0020136548287594,,,0.021331272726112,0.021553323270305,,
fitness,random_forest,1e5,random_10,True,sum,20479116.0,0.2632585592840817,0.2690591600983072,,,0.2963959066914589,0.3030783501526614,,,0.0868446846467718,0.0908532002557058,,,0.019430499925603,0.0195557563318843,,
fitness,random_forest,1e5,random_100,False,mean,18941414.0,0.6456702329587606,0.6444671644706601,,,0.6006127863226007,0.6060930666948886,,,0.2832841127300991,0.2912818102861033,,,0.0152505797865168,0.015244535018896,,
fitness,random_forest,1e5,random_1000,False,mean,18603972.0,0.7564619609512439,0.7576698229113691,,,0.6887078884358064,0.6933018591849932,,,0.3600336080932752,0.365196350728711,,,0.013617471991084,0.0136546325491459,,
fitness,svr,1e3,calm,True,sum,325.0,0.4000406367155954,0.4698467953254403,0.2984216751191452,0.0535003790382367,0.3931362292346614,0.4878782844606434,0.2672181916512038,0.0867387459032359,0.097621086943998,0.1179012428456832,0.0572482597864505,0.0296742532606983,0.0210839073759595,0.0216993641562587,0.0191687611083569,0.0028644729230898
fitness,svr,1e3,codon_frequency,True,sum,322.0,0.2822601681196685,0.4575292159975517,0.3060885058211563,0.0432977550045403,0.3710476177376856,0.4624916938097853,0.3213900818952084,0.0607885849726693,0.1217894684490314,0.2038270763789954,0.0973858294436097,0.0457520297531435,0.0205192178539568,0.0195856144914429,0.0183462890912047,0.0027861554537639
fitness,svr,1e3,esm2_t33_650M_UR50D_all,True,sum,327.0,0.4786945742248952,0.4717594629229386,0.3702611085498022,0.0432384845682428,0.5159099346572232,0.4993168380107517,0.3983785568495172,0.0553093388920177,0.2438930906416904,0.2386458530582064,0.1534988147489631,0.0419170545749669,0.0176662905267205,0.0187290830560341,0.0172143525590826,0.002606500223892
fitness,svr,1e3,esm2_t33_650M_UR50D_no_dubious,True,sum,324.0,0.3839012858575467,0.4708031291241894,0.3602466933864739,0.0313072481304391,0.5005126457086448,0.5248037981971048,0.3766485611017272,0.0708026133637184,0.2421553217600486,0.2715523415533906,0.1225381075264281,0.0644169936539944,0.0177068931578451,0.0179195933348783,0.0178398689828059,0.0028284747822033
fitness,svr,1e3,fudt_downstream,True,sum,384.0,0.42655332332419,0.5323782746463157,0.2707252211056482,0.0302718635519211,0.4100019761639691,0.4563900369953774,0.2735567579404102,0.0380031019655715,0.080180044635162,0.0831947885893411,-0.3054241201607605,0.1373768531855919,0.0214914139292037,0.0225531324938431,0.0263963162455193,0.0034895002248405
fitness,svr,1e3,fudt_upstream,True,sum,312.0,0.3561640074689777,0.5520022441966477,0.3657954805776574,0.0357964772428523,0.389112402056696,0.536994217117504,0.3934154736054353,0.0363616029237566,0.1413761607490458,0.2818419718708784,0.1483245471377159,0.0341844467276899,0.0200615786069841,0.0176664715234241,0.0172993469651796,0.0025629738426033
fitness,svr,1e3,normalized_chrom_pathways,True,sum,330.0,0.335906074391284,0.3775797104221256,0.2355879849176403,0.0601953196913404,0.391916080536708,0.3894519742513139,0.2488369781542941,0.0682135164738419,0.1339813980031553,0.1385200196893861,0.0242375720223654,0.0865239855556963,0.0202343557968606,0.0211921484464991,0.0197572979243846,0.0026309544574563
fitness,svr,1e3,nt_window_5979,True,sum,359.0,0.2998657342479108,0.5133536076098668,0.3675466172711151,0.043020565140022,0.22961228939782,0.5050481677189661,0.3948232777644379,0.0763024670546184,-0.2274239584396997,0.0130501387238266,-0.0589358426891402,0.1331731138584828,0.0286785214906393,0.0242786697862381,0.0213061693169678,0.0020855579892548
fitness,svr,1e3,nt_window_five_prime_1003,True,sum,343.0,0.3576466970680499,0.4922250062161696,0.3317609323073086,0.0505022276175685,0.3398155503643175,0.4930913424293739,0.345765210365817,0.0608807103069845,0.1097650429369745,0.2068200888061243,0.0732860625460319,0.0583289816581894,0.0208001662117666,0.0195119872858112,0.0188284652756569,0.0028478948831984
fitness,svr,1e3,nt_window_three_prime_300,True,sum,353.0,0.3995793555069953,0.5859967229628495,0.240284916184124,0.0609146811652944,0.4161262639655989,0.5599517473682021,0.2574316932198527,0.0837421802943395,0.1568326097908697,0.2604734093487313,0.0471674788092758,0.0663661400515191,0.0197004416885078,0.0181921317353937,0.0193331739502005,0.0027550438492415
fitness,svr,1e3,one_hot_gene,True,sum,337.0,0.4449073225380931,0.5923460809657433,0.4060858605011984,0.0598320188873407,0.4909978930468181,0.5214606077062106,0.4140784934677752,0.0545088517319726,0.133742472817139,0.1664991301408279,0.110713505491996,0.02201968470583,0.020239938237251,0.0205038707434302,0.0180957401858331,0.00285630018414
fitness,svr,1e3,prot_T5_all,True,sum,309.0,0.4525058827509128,0.5352727782771964,0.4028356602824351,0.080149773094136,0.5023947705882025,0.521870546879127,0.4182806604173167,0.0453017796843186,0.2391813638436619,0.2656796665826132,0.1635575070004764,0.0460360928786151,0.0177763791047593,0.0180640593730953,0.0169725477604405,0.0023588241075365
fitness,svr,1e3,prot_T5_no_dubious,True,sum,309.0,0.4525058827509128,0.5352727782771964,0.4028356602824351,0.080149773094136,0.5023947705882025,0.521870546879127,0.4182806604173167,0.0453017796843186,0.2391813638436619,0.2656796665826132,0.1635575070004764,0.0460360928786151,0.0177763791047593,0.0180640593730953,0.0169725477604405,0.0023588241075365
fitness,svr,1e3,random_1,False,mean,354.0,-0.1683811153367093,0.1878467799964912,-0.0339801185102989,0.0357458091702724,-0.027474630855235,0.0523827209476351,-0.0142496673932263,0.018860869174902,-0.0060100371483478,-0.0047197510418084,-0.01002117854142,0.0094531354896199,0.0235052283864761,0.0247158037306108,0.0205273634057521,0.0029534901756131
fitness,svr,1e3,random_10,True,sum,343.0,0.0750460594848908,0.2731225573640889,0.0916578279213952,0.0297338146064778,0.136031771624589,0.2738678469771929,0.0951158627673496,0.0457502729887417,0.010114517208016,0.0475594063178138,-0.0057921802356633,0.0145192670252927,0.0231284813175792,0.0234297521812486,0.0204306638319699,0.002809691079004
fitness,svr,1e3,random_100,False,sum,367.0,0.5318517420731129,0.4445103252172471,0.3641465273518729,0.0660895824231461,0.5055611702761453,0.4410123690242137,0.3691710569802749,0.0492411918556058,0.1106262661699424,0.0933080543530161,0.0718522208061793,0.0119088019505209,0.0207800438988322,0.0223043491973753,0.0188601372407078,0.0026698869531159
fitness,svr,1e3,random_1000,True,mean,382.0,0.4606387097739717,0.5714476981045463,0.3869742786789783,0.0462090582437637,0.4481977770230299,0.5387938642954027,0.3631510770402087,0.0390610939835516,0.0237743765062534,0.0317783151084444,0.0105871715151609,0.0176974323335858,0.0228093213681991,0.0238179622792199,0.0200709796285601,0.0025505538451897
fitness,svr,1e4,calm,True,sum,2051.0,0.7185355192772447,0.7069488268382659,0.7009973707215738,0.0158227842406478,0.738486719068823,0.7106794268935328,0.7399811943074003,0.0148964723446858,0.5292307982247113,0.499686692670223,0.5347830109735889,0.0209001418027725,0.0094002048598768,0.0102211712332775,0.0092768762286041,0.0002393692686725
fitness,svr,1e4,codon_frequency,True,sum,3137.0,0.2858693057150108,0.3125792477091504,0.3051428916012859,0.0142814971435916,0.3114893089550024,0.3139054798547593,0.3273942719510735,0.0215991541816117,0.0957248559828429,0.0945563225750216,0.1041929177374281,0.0123459145614068,0.0180563460213639,0.0184977987462346,0.0178850063505645,0.0007701054200876
fitness,svr,1e4,esm2_t33_650M_UR50D_all,True,sum,1448.0,0.7743209525578361,0.7641406699493593,0.7777918382358097,0.0183372580753294,0.8030097931068904,0.7760466524944218,0.807153543059755,0.0243589021791822,0.6361389166336314,0.5922912539380862,0.642903379115831,0.0437618657527138,0.0072654895674615,0.0083293025505253,0.0071147727760158,0.0007582925354842
fitness,svr,1e4,esm2_t33_650M_UR50D_no_dubious,True,sum,1449.0,0.7766030414300766,0.7648375075922216,0.7788433022114118,0.0178533024750443,0.8045313462706131,0.7791980601623858,0.8081563762016973,0.024948407642161,0.6391773118532771,0.5987028498379734,0.6449019455756734,0.0448577650511243,0.0072048196311058,0.0081983165891063,0.0070756213104599,0.0007896038132094
fitness,svr,1e4,fudt_downstream,True,mean,2474.0,0.6513163201251178,0.6517637450333739,0.6561585374405958,0.0131852743036788,0.6956877213799227,0.6678787844256333,0.6923277724744404,0.0258943832690549,0.4525688756379156,0.4030523242153714,0.4477526762027313,0.041409183315529,0.0109309714744946,0.0121953670272455,0.0110027795058104,0.0005174330152291
fitness,svr,1e4,fudt_upstream,True,mean,2283.0,0.6871943171462059,0.6886021511672671,0.6830011194356057,0.0118470961757963,0.7094105772163191,0.6958794873490501,0.7093628856693368,0.0221840840266338,0.4515898843726682,0.4406167233781609,0.4690141248712645,0.047055189397988,0.0109505197338426,0.0114279435937829,0.0105768866289134,0.0006552368194109
fitness,svr,1e4,normalized_chrom_pathways,False,sum,3060.0,0.3068873679542075,0.3106452220461743,0.3100918833374586,0.0199689119953878,0.3357004544530358,0.3651608939250855,0.3639642151151822,0.0250961181215358,0.1108604231079779,0.1305628333968767,0.1319504557533663,0.0175290206539384,0.0177541227002329,0.0177622022565324,0.0173305084008881,0.0007851337636521
fitness,svr,1e4,nt_window_5979,True,sum,2024.0,0.8018983768874837,0.7898670375843059,0.8036851428283635,0.0149455781097831,0.8421473584648419,0.8062741810573207,0.8415481556741673,0.0145405143829807,0.7024264208937159,0.6428384472878689,0.7036296492613171,0.0241730740467651,0.0059418768133881,0.0072966465907086,0.005906753898689,0.0003678975169408
fitness,svr,1e4,nt_window_five_prime_1003,True,sum,1317.0,0.7881050592892707,0.7852349843414526,0.7864772154465413,0.015987874228431,0.825525832104799,0.8164107626693281,0.8363688836517056,0.0165580491749272,0.6714104410247137,0.6630892906366515,0.6942418376428426,0.0271310090129058,0.0065611963517074,0.0068829311558926,0.0060929888399512,0.0004204454957142
fitness,svr,1e4,nt_window_three_prime_300,True,sum,2224.0,0.7973402525079997,0.7907475915788035,0.7973540631304401,0.0066583910310544,0.8370286571415717,0.8175391367110714,0.8392449979191653,0.0138512673100879,0.6925114716793768,0.6637577013884606,0.6999191001223466,0.0238644085986142,0.0061398561065079,0.0068692758310225,0.0059822619014856,0.0003846260943004
