seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
YMR165C,YMR165C,adjacent enzyme,physical,3,5718,1157,13,2701,2637,0.9763050721954831,48
YMR313C,YMR313C,adjacent enzyme,physical,1,15,2,0,21,21,1.0,15
YMR313C,YMR313C,adjacent enzyme,physical,2,4931,971,11,2457,2419,0.9845339845339846,15
YMR313C,YMR313C,adjacent enzyme,physical,3,5717,1156,13,2698,2634,0.9762787249814677,15
YNL036W,YNL036W,adjacent enzyme,physical,1,10,0,0,0,0,,10
YNL036W,YNL036W,adjacent enzyme,physical,2,4917,943,10,2390,2356,0.9857740585774059,10
YNL036W,YNL036W,adjacent enzyme,physical,3,5717,1157,13,2708,2644,0.9763663220088626,10
YNL104C,YNL104C,adjacent enzyme,physical,1,40,5,0,22,22,1.0,40
YNL104C,YNL104C,adjacent enzyme,physical,2,4649,1002,13,2481,2417,0.9742039500201531,40
YNL104C,YNL104C,adjacent enzyme,physical,3,5718,1157,13,2708,2644,0.9763663220088626,40
YNL117W,YNL117W,adjacent enzyme,physical,1,30,1,0,8,8,1.0,30
YNL117W,YNL117W,adjacent enzyme,physical,2,4294,909,12,2382,2326,0.9764903442485307,30
YNL117W,YNL117W,adjacent enzyme,physical,3,5714,1157,13,2708,2644,0.9763663220088626,30
YNL277W,YNL277W,adjacent enzyme,physical,1,11,0,0,0,0,,11
YNL277W,YNL277W,adjacent enzyme,physical,2,4979,988,11,2368,2330,0.9839527027027027,11
YNL277W,YNL277W,adjacent enzyme,physical,3,5716,1157,13,2708,2644,0.9763663220088626,11
YNR019W,YNR019W,adjacent enzyme,physical,1,34,6,0,18,18,1.0,34
YNR019W,YNR019W,adjacent enzyme,physical,2,5266,1073,13,2643,2579,0.975785092697692,34
YNR019W,YNR019W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,34
YOR081C,YOR081C,adjacent enzyme,physical,1,31,6,0,13,13,1.0,31
YOR081C,YOR081C,adjacent enzyme,physical,2,5529,1117,12,2658,2612,0.9826937547027841,31
YOR081C,YOR081C,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,31
YOR108W,YOR108W,adjacent enzyme,physical,1,15,1,0,2,2,1.0,15
YOR108W,YOR108W,adjacent enzyme,physical,2,4937,991,11,2518,2476,0.9833200953137411,15
YOR108W,YOR108W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,15
YOR175C,YOR175C,adjacent enzyme,physical,1,6,0,0,0,0,,6
YOR175C,YOR175C,adjacent enzyme,physical,2,4758,982,11,2497,2455,0.9831798157789348,6
YOR175C,YOR175C,adjacent enzyme,physical,3,5714,1156,13,2705,2641,0.9763401109057301,6
YOR245C,YOR245C,adjacent enzyme,physical,1,17,2,2,10,0,0.0,17
YOR245C,YOR245C,adjacent enzyme,physical,2,5326,1060,12,2552,2506,0.981974921630094,17
YOR245C,YOR245C,adjacent enzyme,physical,3,5718,1157,13,2677,2613,0.9760926410160627,17
YOR253W,YOR253W,adjacent enzyme,physical,1,28,2,0,1,1,1.0,28
YOR253W,YOR253W,adjacent enzyme,physical,2,4865,977,12,2496,2450,0.9815705128205128,28
YOR253W,YOR253W,adjacent enzyme,physical,3,5717,1157,13,2709,2645,0.976375046142488,28
YOR303W,YOR303W,adjacent enzyme,physical,1,21,1,0,1,1,1.0,21
YOR303W,YOR303W,adjacent enzyme,physical,2,5435,1083,12,2641,2595,0.9825823551684968,21
YOR303W,YOR303W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,21
YOR311C,YOR311C,adjacent enzyme,physical,1,16,0,0,0,0,,16
YOR311C,YOR311C,adjacent enzyme,physical,2,5186,1042,12,2557,2511,0.9820101681658193,16
YOR311C,YOR311C,adjacent enzyme,physical,3,5718,1157,13,2701,2637,0.9763050721954831,16
YOR377W,YOR377W,adjacent enzyme,physical,1,7,0,0,0,0,,7
YOR377W,YOR377W,adjacent enzyme,physical,2,5072,1017,12,2533,2470,0.9751283063560995,7
YOR377W,YOR377W,adjacent enzyme,physical,3,5718,1157,13,2709,2645,0.976375046142488,7
YPL028W,YPL028W,adjacent enzyme,physical,1,34,2,0,3,3,1.0,34
