orf,self_value,self_rank,n_genes,self_present,version
YGR276C,-2.1899990222933816,1.0,6169,True,kemmeren
YLL046C,-0.010007481197607679,2699.0,6169,True,kemmeren
YER068W,-3.1486080733768422,2.0,6169,True,kemmeren
YGR070W,-1.9762669260922676,1.0,6169,True,kemmeren
YIL119C,-3.1153380447098833,1.0,6169,True,kemmeren
YLR325C,-4.279405260537592,1.0,6169,True,kemmeren
YGL004C,-3.0284694992389625,1.0,6169,True,kemmeren
YFL036W,0.20777010214274003,5863.0,6169,True,kemmeren
YDL216C,-1.9155230301227186,1.0,6169,True,kemmeren
YOL117W,-2.4742574931708865,1.0,6169,True,kemmeren
YIL127C,-2.7318635038330883,1.0,6169,True,kemmeren
YLR221C,-2.087633963124725,2.0,6169,True,kemmeren
YMR030W,-2.3158980530584894,1.0,6169,True,kemmeren
YMR091C,-3.5415365591098715,1.0,6169,True,kemmeren
YJR127C,-3.321082095618844,1.0,6169,True,kemmeren
YGR152C,-3.781167918211492,1.0,6169,True,kemmeren
YDR066C,-0.9705516759912056,5.0,6169,True,kemmeren
YGR161C,-2.6431746583157154,1.0,6169,True,kemmeren
YDR139C,-1.4018695870985016,2.0,6169,True,kemmeren
YOR138C,-3.3453465790609593,1.0,6169,True,kemmeren
YBR280C,-2.4677621871093782,1.0,6169,True,kemmeren
YJL098W,-4.613393476732346,1.0,6169,True,kemmeren
YGL229C,-1.8641849021277404,1.0,6169,True,kemmeren
YBL066C,-0.13773191239917318,376.0,6169,True,kemmeren
YBR279W,-4.0990146218111025,1.0,6169,True,kemmeren
YPL165C,-0.040361754722759074,2060.0,6169,True,kemmeren
YDR257C,-2.563357648701037,1.0,6169,True,kemmeren
YNL049C,-3.8760581499385554,1.0,6169,True,kemmeren
YOR315W,-2.522918532587072,1.0,6169,True,kemmeren
YIR001C,-2.0409997589870468,1.0,6169,True,kemmeren
YOR007C,-3.7805551167359477,1.0,6169,True,kemmeren
YKL130C,-3.00023778538593,1.0,6169,True,kemmeren
YHL006C,-0.045554466655181584,1806.0,6169,True,kemmeren
YIL123W,-2.834696823521223,1.0,6169,True,kemmeren
YNL257C,-3.1127462438485765,1.0,6169,True,kemmeren
YNL097C,-2.6426516191166485,2.0,6169,True,kemmeren
YDR409W,-1.3980204296841094,1.0,6169,True,kemmeren
